dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,24.996334,20.500000,0.003740,0.149591,2.991812,59.836233,3.141593
0.050000,24.985115,20.500000,0.014959,0.224386,1.495906,-29.918116,3.141593
0.050000,24.966416,20.500000,0.033658,0.373976,2.991812,29.918116,3.141593
0.050000,24.940238,20.500000,0.059836,0.523567,2.991812,0.000000,3.141593
0.050000,24.906580,20.500000,0.093494,0.673158,2.991812,-0.000000,3.141593
0.050000,24.865442,20.500000,0.134632,0.822748,2.991812,0.000000,3.141593
0.050000,24.816826,20.500000,0.183248,0.972339,2.991812,-0.000000,3.141593
0.050000,24.760729,20.500000,0.239345,1.121929,2.991812,0.000000,3.141593
0.050000,24.697153,20.500000,0.302921,1.271520,2.991812,-0.000000,3.141593
0.050000,24.626098,20.500000,0.373976,1.421111,2.991812,0.000000,3.141593
0.050000,24.547562,20.500000,0.452512,1.570701,2.991812,0.000000,3.141593
0.050000,24.461548,20.500000,0.538526,1.720292,2.991812,0.000000,3.141593
0.050000,24.368054,20.500000,0.632020,1.869882,2.991812,-0.000000,3.141593
0.050000,24.267080,20.500000,0.732994,2.019473,2.991812,-0.000000,3.141593
0.050000,24.158627,20.500000,0.841447,2.169063,2.991812,0.000000,3.141593
0.050000,24.042694,20.500000,0.957380,2.318654,2.991812,-0.000000,3.141593
0.050000,23.919282,20.500000,1.080792,2.468245,2.991812,-0.000000,3.141593
0.050000,23.788390,20.500000,1.211684,2.617835,2.991812,0.000000,3.141593
0.050000,23.650019,20.500000,1.350055,2.767426,2.991812,0.000000,3.141593
0.050000,23.504168,20.500000,1.495906,2.917016,2.991812,-0.000000,3.141593
0.050000,23.350838,20.500000,1.649236,3.066607,2.991812,0.000000,3.141593
0.050000,23.190028,20.500000,1.810046,3.216198,2.991812,0.000000,3.141593
0.050000,23.021739,20.500000,1.978335,3.365788,2.991812,0.000000,3.141593
0.050000,22.845970,20.500000,2.154104,3.515379,2.991812,-0.000000,3.141593
0.050000,22.662721,20.500000,2.337353,3.664969,2.991812,0.000000,3.141593
0.050000,22.471993,20.500000,2.528081,3.814560,2.991812,0.000000,3.141593
0.050000,22.273786,20.500000,2.726288,3.964150,2.991812,-0.000000,3.141593
0.050000,22.068099,20.500000,2.931975,4.113741,2.991812,0.000000,3.141593
0.050000,21.854932,20.500000,3.145142,4.263332,2.991812,0.000000,3.141593
0.050000,21.634286,20.500000,3.365788,4.412922,2.991812,0.000000,3.141593
0.050000,21.406160,20.500000,3.593914,4.562513,2.991812,0.000000,3.141593
0.050000,21.174611,20.500000,3.825463,4.630979,1.369333,-32.449581,3.141593
0.050000,20.947119,20.500000,4.052955,4.549855,-1.622479,-59.836233,3.141593
0.050000,20.727105,20.500000,4.272969,4.400265,-2.991812,-27.386651,3.141593
0.050000,20.514572,20.500000,4.485502,4.250674,-2.991812,-0.000000,3.141593
0.050000,20.309517,20.500000,4.690557,4.101084,-2.991812,0.000000,3.141593
0.050000,20.111943,20.500000,4.888131,3.951493,-2.991812,0.000000,3.141593
0.050000,19.921848,20.500000,5.078226,3.801903,-2.991812,0.000000,3.141593
0.050000,19.739232,20.500000,5.260842,3.652312,-2.991812,0.000000,3.141593
0.050000,19.564096,20.500000,5.435978,3.502721,-2.991812,0.000000,3.141593
0.050000,19.396439,20.500000,5.603635,3.353131,-2.991812,0.000000,3.141593
0.050000,19.236262,20.500000,5.763812,3.203540,-2.991812,-0.000000,3.141593
0.050000,19.083565,20.500000,5.916509,3.053950,-2.991812,0.000000,3.141593
0.050000,18.938347,20.500000,6.061727,2.904359,-2.991812,-0.000000,3.141593
0.050000,18.800609,20.500000,6.199465,2.754768,-2.991812,-0.000000,3.141593
0.050000,18.670350,20.500000,6.329724,2.605178,-2.991812,0.000000,3.141593
0.050000,18.547570,20.500000,6.452504,2.455587,-2.991812,0.000000,3.141593
0.050000,18.432270,20.500000,6.567804,2.305997,-2.991812,0.000000,3.141593
0.050000,18.324450,20.500000,6.675624,2.156406,-2.991812,-0.000000,3.141593
0.050000,18.224109,20.500000,6.775965,2.006816,-2.991812,0.000000,3.141593
0.050000,18.131248,20.500000,6.868826,1.857225,-2.991812,0.000000,3.141593
0.050000,18.045866,20.500000,6.954208,1.707634,-2.991812,0.000000,3.141593
0.050000,17.967964,20.500000,7.032110,1.558044,-2.991812,0.000000,3.141593
0.050000,17.897542,20.500000,7.102532,1.408453,-2.991812,-0.000000,3.141593
0.050000,17.834598,20.500000,7.165476,1.258863,-2.991812,0.000000,3.141593
0.050000,17.779135,20.500000,7.220939,1.109272,-2.991812,-0.000000,3.141593
0.050000,17.731151,20.500000,7.268923,0.959681,-2.991812,0.000000,3.141593
0.050000,17.690646,20.500000,7.309428,0.810091,-2.991812,-0.000000,3.141593
0.050000,17.657621,20.500000,7.342453,0.660500,-2.991812,0.000000,3.141593
0.050000,17.632076,20.500000,7.367998,0.510910,-2.991812,-0.000000,3.141593
0.050000,17.614010,20.500000,7.386064,0.361319,-2.991812,0.000000,3.141593
0.050000,17.603423,20.500000,7.396651,0.211729,-2.991812,0.000000,3.141593
0.050000,17.600000,20.500000,7.400074,0.068467,-2.865238,2.531465,3.141593
0.050000,17.600000,20.500000,7.400074,0.000000,-1.369333,29.918116,3.141593
