dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003610,3.000000,0.003750,0.149983,2.999664,59.993271,0.000000
0.050000,0.014858,3.000000,0.014998,0.224975,1.499832,-29.996636,0.000000
0.050000,0.033606,3.000000,0.033746,0.374958,2.999664,29.996636,0.000000
0.050000,0.059853,3.000000,0.059993,0.524941,2.999664,0.000000,0.000000
0.050000,0.093599,3.000000,0.093739,0.674924,2.999664,0.000000,0.000000
0.050000,0.134845,3.000000,0.134985,0.824907,2.999664,-0.000000,0.000000
0.050000,0.183589,3.000000,0.183729,0.974891,2.999664,0.000000,0.000000
0.050000,0.239833,3.000000,0.239973,1.124874,2.999664,-0.000000,0.000000
0.050000,0.303576,3.000000,0.303716,1.274857,2.999664,0.000000,0.000000
0.050000,0.374818,3.000000,0.374958,1.424840,2.999664,0.000000,0.000000
0.050000,0.453559,3.000000,0.453699,1.574823,2.999664,-0.000000,0.000000
0.050000,0.539799,3.000000,0.539939,1.724807,2.999664,-0.000000,0.000000
0.050000,0.633539,3.000000,0.633679,1.874790,2.999664,0.000000,0.000000
0.050000,0.734778,3.000000,0.734918,2.024773,2.999664,-0.000000,0.000000
0.050000,0.843515,3.000000,0.843655,2.174756,2.999664,-0.000000,0.000000
0.050000,0.959752,3.000000,0.959892,2.324739,2.999664,0.000000,0.000000
0.050000,1.083488,3.000000,1.083628,2.474722,2.999664,-0.000000,0.000000
0.050000,1.214724,3.000000,1.214864,2.624706,2.999664,-0.000000,0.000000
0.050000,1.353458,3.000000,1.353598,2.774689,2.999664,-0.000000,0.000000
0.050000,1.499692,3.000000,1.499832,2.924672,2.999664,0.000000,0.000000
0.050000,1.653425,3.000000,1.653565,3.074655,2.999664,-0.000000,0.000000
0.050000,1.814656,3.000000,1.814796,3.224638,2.999664,-0.000000,0.000000
0.050000,1.983388,3.000000,1.983528,3.374622,2.999664,-0.000000,0.000000
0.050000,2.159618,3.000000,2.159758,3.524605,2.999664,0.000000,0.000000
0.050000,2.343347,3.000000,2.343487,3.674588,2.999664,0.000000,0.000000
0.050000,2.534576,3.000000,2.534716,3.824571,2.999664,-0.000000,0.000000
0.050000,2.733303,3.000000,2.733443,3.974554,2.999664,0.000000,0.000000
0.050000,2.939530,3.000000,2.939670,4.124537,2.999664,-0.000000,0.000000
0.050000,3.153256,3.000000,3.153396,4.274521,2.999664,0.000000,0.000000
0.050000,3.374482,3.000000,3.374622,4.424504,2.999664,-0.000000,0.000000
0.050000,3.603206,3.000000,3.603346,4.574487,2.999664,0.000000,0.000000
0.050000,3.839429,3.000000,3.839569,4.724470,2.999664,0.000000,0.000000
0.050000,4.083152,3.000000,4.083292,4.874453,2.999664,0.000000,0.000000
0.050000,4.334374,3.000000,4.334514,5.024436,2.999664,-0.000000,0.000000
0.050000,4.593095,3.000000,4.593235,5.174420,2.999664,0.000000,0.000000
0.050000,4.859315,3.000000,4.859455,5.324403,2.999664,-0.000000,0.000000
0.050000,5.133034,3.000000,5.133174,5.474386,2.999664,0.000000,0.000000
0.050000,5.414253,3.000000,5.414393,5.624369,2.999664,0.000000,0.000000
0.050000,5.702970,3.000000,5.703110,5.774352,2.999664,0.000000,0.000000
0.050000,5.999187,3.000000,5.999327,5.924336,2.999664,-0.000000,0.000000
0.050000,6.302903,3.000000,6.303043,6.074319,2.999664,-0.000000,0.000000
0.050000,6.614118,3.000000,6.614258,6.224302,2.999664,0.000000,0.000000
0.050000,6.932832,3.000000,6.932972,6.374285,2.999664,-0.000000,0.000000
0.050000,7.259046,3.000000,7.259186,6.524268,2.999664,0.000000,0.000000
0.050000,7.592758,3.000000,7.592898,6.674251,2.999664,-0.000000,0.000000
0.050000,7.933970,3.000000,7.934110,6.824235,2.999664,-0.000000,0.000000
0.050000,8.282681,3.000000,8.282821,6.974218,2.999664,0.000000,0.000000
0.050000,8.638891,3.000000,8.639031,7.124201,2.999664,-0.000000,0.000000
0.050000,9.002600,3.000000,9.002740,7.274184,2.999664,0.000000,0.000000
0.050000,9.373809,3.000000,9.373949,7.424167,2.999664,0.000000,0.000000
0.050000,9.752516,3.000000,9.752656,7.574151,2.999664,-0.000000,0.000000
0.050000,10.138723,3.000000,10.138863,7.724134,2.999664,0.000000,0.000000
0.050000,10.532429,3.000000,10.532569,7.874117,2.999664,-0.000000,0.000000
0.050000,10.933634,3.000000,10.933774,8.024100,2.999664,-0.000000,0.000000
0.050000,11.342338,3.000000,11.342478,8.174083,2.999664,-0.000000,0.000000
0.050000,11.758541,3.000000,11.758681,8.324066,2.999664,0.000000,0.000000
0.050000,12.182244,3.000000,12.182384,8.474050,2.999664,-0.000000,0.000000
0.050000,12.613445,3.000000,12.613585,8.624033,2.999664,0.000000,0.000000
0.050000,13.048372,3.000000,13.048512,8.698537,1.490076,-30.191745,0.000000
