dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,15.002653,21.949999,0.003675,0.146998,2.939955,58.799096,6.282286
0.050000,15.013492,21.949969,0.014515,0.216792,1.395878,-30.881532,6.278609
0.050000,15.037879,21.949757,0.038902,0.487743,5.419019,80.462814,6.270336
0.050000,15.078517,21.948954,0.079548,0.812917,6.503493,21.689488,6.256547
0.050000,15.135407,21.946889,0.136476,1.138563,6.512918,0.188503,6.237266
0.050000,15.208572,21.942620,0.209765,1.465784,6.544410,0.629827,6.212569
0.050000,15.298073,21.934938,0.299595,1.796600,6.616332,1.438448,6.182626
0.050000,15.404038,21.922368,0.406303,2.134163,6.751245,2.698252,6.147760
0.050000,15.526688,21.903181,0.530444,2.482824,6.973231,4.439724,6.108500
0.050000,15.666351,21.875403,0.672843,2.847981,7.303143,6.598243,6.065631
0.050000,15.823472,21.836858,0.834623,3.235592,7.752217,8.981470,6.020223
0.050000,15.998590,21.785232,1.017192,3.651392,8.315997,11.275608,5.973618
0.050000,16.192313,21.718178,1.222192,4.099981,8.971786,13.115770,5.927377
0.050000,16.405290,21.633470,1.451397,4.584104,9.682451,14.213316,5.883189
0.050000,16.638233,21.529181,1.706619,5.104443,10.406782,14.486607,5.842779
0.050000,16.891983,21.403871,1.989623,5.660088,11.112893,14.122226,5.807825
0.050000,17.167665,21.256760,2.302101,6.249559,11.789432,13.530783,5.779938
0.050000,17.463848,21.089639,2.642180,6.801580,11.040424,-14.980169,5.760833
0.050000,17.776396,20.907456,3.003950,7.235390,8.676193,-47.284607,5.751882
0.050000,18.100153,20.717201,3.379470,7.510399,5.500182,-63.520217,5.753716
0.050000,18.429569,20.526792,3.759956,7.609737,1.986749,-70.268665,5.766165
0.050000,18.759340,20.343747,4.137124,7.543341,-1.327916,-66.293310,5.788339
0.050000,19.084071,20.174541,4.503294,7.323409,-4.398643,-61.414543,5.818736
0.050000,19.400618,20.022955,4.854264,7.019403,-6.080110,-33.629334,5.855663
0.050000,19.707370,19.890675,5.188323,6.681170,-6.764668,-13.691152,5.897486
0.050000,20.002116,19.778513,5.503688,6.307309,-7.477217,-14.250990,5.942509
0.050000,20.282222,19.686385,5.798556,5.897359,-8.198988,-14.435409,5.989010
0.050000,20.544886,19.613334,6.071189,5.452664,-8.893905,-13.898356,6.035333
0.050000,20.787406,19.557649,6.320020,4.976615,-9.520989,-12.541666,6.079982
0.050000,21.007406,19.517058,6.543733,4.474254,-10.047218,-10.524580,6.121705
0.050000,21.202972,19.488973,6.741306,3.951459,-10.455899,-8.173630,6.159529
0.050000,21.372697,19.470730,6.912008,3.414049,-10.748205,-5.846118,6.192758
0.050000,21.515634,19.459794,7.055363,2.867092,-10.939135,-3.818597,6.220937
0.050000,21.631211,19.453916,7.171089,2.314537,-11.051088,-2.239067,6.243803
0.050000,21.719127,19.451218,7.259047,1.759141,-11.107919,-1.136624,6.261219
0.050000,21.779249,19.450255,7.319176,1.202597,-11.130894,-0.459481,6.273132
0.050000,21.813115,19.450028,7.353043,0.677341,-10.505108,12.515712,6.279841
0.050000,21.826939,19.450001,7.366867,0.276470,-8.017434,49.753473,6.282579
0.050000,21.830000,19.450000,7.369928,0.061222,-4.304947,74.249736,6.283185
0.050000,21.830000,19.450000,7.369928,0.000000,-1.224447,61.610017,6.283185
