dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.006060,24.062500,0.006210,0.248414,4.968283,99.365656,0.000000
0.050000,0.024691,24.062500,0.024841,0.372621,2.484141,-49.682828,0.000000
0.050000,0.055743,24.062500,0.055893,0.621035,4.968283,49.682828,0.000000
0.050000,0.099216,24.062500,0.099366,0.869449,4.968283,0.000000,0.000000
0.050000,0.155109,24.062500,0.155259,1.117864,4.968283,-0.000000,0.000000
0.050000,0.223423,24.062500,0.223573,1.366278,4.968283,-0.000000,0.000000
0.050000,0.304157,24.062500,0.304307,1.614692,4.968283,0.000000,0.000000
0.050000,0.397313,24.062500,0.397463,1.863106,4.968283,0.000000,0.000000
0.050000,0.502889,24.062500,0.503039,2.111520,4.968283,-0.000000,0.000000
0.050000,0.620885,24.062500,0.621035,2.359934,4.968283,-0.000000,0.000000
0.050000,0.751303,24.062500,0.751453,2.608348,4.968283,0.000000,0.000000
0.050000,0.894141,24.062500,0.894291,2.856763,4.968283,-0.000000,0.000000
0.050000,1.049400,24.062500,1.049550,3.105177,4.968283,0.000000,0.000000
0.050000,1.217079,24.062500,1.217229,3.353591,4.968283,-0.000000,0.000000
0.050000,1.397180,24.062500,1.397330,3.602005,4.968283,-0.000000,0.000000
0.050000,1.589701,24.062500,1.589851,3.850419,4.968283,-0.000000,0.000000
0.050000,1.794642,24.062500,1.794792,4.098833,4.968283,0.000000,0.000000
0.050000,2.012005,24.062500,2.012155,4.347247,4.968283,-0.000000,0.000000
0.050000,2.241788,24.062500,2.241938,4.595662,4.968283,0.000000,0.000000
0.050000,2.483991,24.062500,2.484141,4.844076,4.968283,0.000000,0.000000
0.050000,2.738616,24.062500,2.738766,5.092490,4.968283,0.000000,0.000000
0.050000,3.005661,24.062500,3.005811,5.340904,4.968283,0.000000,0.000000
0.050000,3.285127,24.062500,3.285277,5.589318,4.968283,-0.000000,0.000000
0.050000,3.577014,24.062500,3.577164,5.837732,4.968283,0.000000,0.000000
0.050000,3.881321,24.062500,3.881471,6.086146,4.968283,0.000000,0.000000
0.050000,4.198049,24.062500,4.198199,6.334561,4.968283,-0.000000,0.000000
0.050000,4.527198,24.062500,4.527348,6.582975,4.968283,0.000000,0.000000
0.050000,4.868767,24.062500,4.868917,6.831389,4.968283,0.000000,0.000000
0.050000,5.222757,24.062500,5.222907,7.079803,4.968283,-0.000000,0.000000
0.050000,5.589168,24.062500,5.589318,7.328217,4.968283,0.000000,0.000000
0.050000,5.968000,24.062500,5.968150,7.576631,4.968283,-0.000000,0.000000
0.050000,6.359252,24.062500,6.359402,7.825045,4.968283,0.000000,0.000000
0.050000,6.762925,24.062500,6.763075,8.073460,4.968283,-0.000000,0.000000
0.050000,7.179019,24.062500,7.179169,8.321874,4.968283,0.000000,0.000000
0.050000,7.607533,24.062500,7.607683,8.570288,4.968283,0.000000,0.000000
0.050000,8.048468,24.062500,8.048618,8.818702,4.968283,0.000000,0.000000
0.050000,8.501824,24.062500,8.501974,9.067116,4.968283,-0.000000,0.000000
0.050000,8.967600,24.062500,8.967750,9.315530,4.968283,-0.000000,0.000000
0.050000,9.445798,24.062500,9.445948,9.563944,4.968283,-0.000000,0.000000
0.050000,9.936416,24.062500,9.936566,9.812359,4.968283,0.000000,0.000000
0.050000,10.439454,24.062500,10.439604,10.060773,4.968283,-0.000000,0.000000
0.050000,10.954914,24.062500,10.955064,10.309187,4.968283,0.000000,0.000000
0.050000,11.471824,24.062500,11.471974,10.338199,0.580235,-87.760955,0.000000
0.050000,11.977763,24.062500,11.977913,10.118796,-4.388048,-99.365656,0.000000
0.050000,12.471282,24.062500,12.471432,9.870382,-4.968283,-11.604701,0.000000
0.050000,12.952381,24.062500,12.952531,9.621968,-4.968283,0.000000,0.000000
0.050000,13.421059,24.062500,13.421209,9.373554,-4.968283,-0.000000,0.000000
0.050000,13.877316,24.062500,13.877466,9.125140,-4.968283,0.000000,0.000000
0.050000,14.321152,24.062500,14.321302,8.876726,-4.968283,0.000000,0.000000
0.050000,14.752567,24.062500,14.752717,8.628311,-4.968283,-0.000000,0.000000
0.050000,15.172277,24.062445,15.172427,8.394185,-4.682532,5.715016,6.282447
0.050000,15.583243,24.061405,15.583394,8.219357,-3.496552,23.719606,6.278311
0.050000,15.985065,24.058099,15.985230,8.036717,-3.652806,-3.125081,6.271080
0.050000,16.377433,24.051470,16.377654,7.848477,-3.764798,-2.239835,6.261016
0.050000,16.760027,24.040655,16.760401,7.654928,-3.870978,-2.123607,6.248369
0.050000,17.132508,24.024968,17.133212,7.456227,-3.974022,-2.060885,6.233383
0.050000,17.494516,24.003897,17.495833,7.252418,-4.076184,-2.043230,6.216296
0.050000,17.845668,23.977098,17.848006,7.043458,-4.179201,-2.060342,6.197352
0.050000,18.185560,23.944390,18.189468,6.829246,-4.284227,-2.100520,6.176797
0.050000,18.513777,23.905753,18.519951,6.609657,-4.391786,-2.151188,6.154886
0.050000,18.829897,23.861316,18.839179,6.384569,-4.501766,-2.199602,6.131876
0.050000,19.133509,23.811353,19.146874,6.153896,-4.613452,-2.233718,6.108031
0.050000,19.424218,23.756275,19.442755,5.917616,-4.725611,-2.243175,6.083615
0.050000,19.701664,23.696609,19.726544,5.675785,-4.836621,-2.220210,6.058890
0.050000,19.965530,23.632988,19.997972,5.428553,-4.944640,-2.160370,6.034109
0.050000,20.215553,23.566129,20.256780,5.176164,-5.047782,-2.062841,6.009516
0.050000,20.451531,23.496814,20.502727,4.918949,-5.144299,-1.930342,5.985337
0.050000,20.673327,23.425871,20.735593,4.657312,-5.232728,-1.768575,5.961781
0.050000,20.880869,23.354148,20.955179,4.391712,-5.311996,-1.585361,5.939035
0.050000,21.074147,23.282497,21.161311,4.122639,-5.381476,-1.389597,5.917261
0.050000,21.253210,23.211758,21.353840,3.850589,-5.440988,-1.190242,5.896600
0.050000,21.418156,23.142742,21.532643,3.576051,-5.490761,-0.995458,5.877169
0.050000,21.569123,23.076218,21.697617,3.299483,-5.531362,-0.812017,5.859064
0.050000,21.706280,23.012905,21.848682,3.021303,-5.563610,-0.644977,5.842359
0.050000,21.829819,22.953466,21.985776,2.741878,-5.588491,-0.497621,5.827115
0.050000,21.939941,22.898503,22.108852,2.461525,-5.607071,-0.371591,5.813374
0.050000,22.036850,22.848553,22.217877,2.180503,-5.620427,-0.267130,5.801167
0.050000,22.120747,22.804089,22.312828,1.899023,-5.629597,-0.183398,5.790517
0.050000,22.191819,22.765520,22.393691,1.617246,-5.635536,-0.118768,5.781437
0.050000,22.250233,22.733190,22.460455,1.335292,-5.639091,-0.071101,5.773935
