dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.006034,24.062500,0.006184,0.247347,4.946949,98.938981,0.000000
0.050000,0.024585,24.062500,0.024735,0.371021,2.473475,-49.469491,0.000000
0.050000,0.055503,24.062500,0.055653,0.618369,4.946949,49.469491,0.000000
0.050000,0.098789,24.062500,0.098939,0.865716,4.946949,0.000000,0.000000
0.050000,0.154442,24.062500,0.154592,1.113064,4.946949,-0.000000,0.000000
0.050000,0.222463,24.062500,0.222613,1.360411,4.946949,-0.000000,0.000000
0.050000,0.302851,24.062500,0.303001,1.607758,4.946949,-0.000000,0.000000
0.050000,0.395606,24.062500,0.395756,1.855106,4.946949,0.000000,0.000000
0.050000,0.500729,24.062500,0.500879,2.102453,4.946949,-0.000000,0.000000
0.050000,0.618219,24.062500,0.618369,2.349801,4.946949,-0.000000,0.000000
0.050000,0.748076,24.062500,0.748226,2.597148,4.946949,0.000000,0.000000
0.050000,0.890301,24.062500,0.890451,2.844496,4.946949,0.000000,0.000000
0.050000,1.044893,24.062500,1.045043,3.091843,4.946949,0.000000,0.000000
0.050000,1.211853,24.062500,1.212003,3.339191,4.946949,-0.000000,0.000000
0.050000,1.391179,24.062500,1.391329,3.586538,4.946949,-0.000000,0.000000
0.050000,1.582874,24.062500,1.583024,3.833886,4.946949,-0.000000,0.000000
0.050000,1.786935,24.062500,1.787085,4.081233,4.946949,0.000000,0.000000
0.050000,2.003364,24.062500,2.003514,4.328580,4.946949,-0.000000,0.000000
0.050000,2.232161,24.062500,2.232311,4.575928,4.946949,0.000000,0.000000
0.050000,2.473325,24.062500,2.473475,4.823275,4.946949,0.000000,0.000000
0.050000,2.726856,24.062500,2.727006,5.070623,4.946949,-0.000000,0.000000
0.050000,2.992754,24.062500,2.992904,5.317970,4.946949,0.000000,0.000000
0.050000,3.271020,24.062500,3.271170,5.565318,4.946949,-0.000000,0.000000
0.050000,3.561653,24.062500,3.561803,5.812665,4.946949,-0.000000,0.000000
0.050000,3.864654,24.062500,3.864804,6.060013,4.946949,0.000000,0.000000
0.050000,4.180022,24.062500,4.180172,6.307360,4.946949,-0.000000,0.000000
0.050000,4.507757,24.062500,4.507907,6.554708,4.946949,0.000000,0.000000
0.050000,4.847860,24.062500,4.848010,6.802055,4.946949,-0.000000,0.000000
0.050000,5.200330,24.062500,5.200480,7.049402,4.946949,0.000000,0.000000
0.050000,5.565168,24.062500,5.565318,7.296750,4.946949,0.000000,0.000000
0.050000,5.942373,24.062500,5.942523,7.544097,4.946949,-0.000000,0.000000
0.050000,6.331945,24.062500,6.332095,7.791445,4.946949,0.000000,0.000000
0.050000,6.733884,24.062500,6.734034,8.038792,4.946949,-0.000000,0.000000
0.050000,7.148191,24.062500,7.148341,8.286140,4.946949,0.000000,0.000000
0.050000,7.574866,24.062500,7.575016,8.533487,4.946949,0.000000,0.000000
0.050000,8.013908,24.062500,8.014058,8.780835,4.946949,0.000000,0.000000
0.050000,8.465317,24.062500,8.465467,9.028182,4.946949,-0.000000,0.000000
0.050000,8.929093,24.062500,8.929243,9.275530,4.946949,0.000000,0.000000
0.050000,9.405237,24.062500,9.405387,9.522877,4.946949,0.000000,0.000000
0.050000,9.893748,24.062500,9.893898,9.770224,4.946949,0.000000,0.000000
0.050000,10.394627,24.062500,10.394777,10.017572,4.946949,-0.000000,0.000000
0.050000,10.895907,24.062500,10.896057,10.025608,0.160732,-95.724335,0.000000
0.050000,11.385222,24.062500,11.385372,9.786298,-4.786217,-98.938981,0.000000
0.050000,11.862170,24.062500,11.862320,9.538950,-4.946949,-3.214647,0.000000
0.050000,12.326750,24.062500,12.326900,9.291603,-4.946949,0.000000,0.000000
0.050000,12.778962,24.062500,12.779112,9.044255,-4.946949,-0.000000,0.000000
0.050000,13.218808,24.062500,13.218958,8.796908,-4.946949,0.000000,0.000000
0.050000,13.646286,24.062500,13.646436,8.549560,-4.946949,-0.000000,0.000000
0.050000,14.061397,24.062500,14.061547,8.302213,-4.946949,0.000000,0.000000
0.050000,14.464140,24.062500,14.464290,8.054865,-4.946949,0.000000,0.000000
0.050000,14.854516,24.062500,14.854666,7.807518,-4.946949,0.000000,0.000000
0.050000,15.252115,24.060199,15.252272,7.952123,2.892096,156.780901,6.264676
0.050000,15.652153,24.046400,15.652548,8.005521,1.067957,-36.482784,6.232062
