dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.006020,21.937500,0.006170,0.246797,4.935947,98.718935,0.000000
0.050000,0.024530,21.937500,0.024680,0.370196,2.467973,-49.359468,0.000000
0.050000,0.055379,21.937500,0.055529,0.616993,4.935947,49.359468,0.000000
0.050000,0.098569,21.937500,0.098719,0.863791,4.935947,0.000000,0.000000
0.050000,0.154098,21.937500,0.154248,1.110588,4.935947,-0.000000,0.000000
0.050000,0.221968,21.937500,0.222118,1.357385,4.935947,-0.000000,0.000000
0.050000,0.302177,21.937500,0.302327,1.604183,4.935947,-0.000000,0.000000
0.050000,0.394726,21.937500,0.394876,1.850980,4.935947,0.000000,0.000000
0.050000,0.499615,21.937500,0.499765,2.097777,4.935947,-0.000000,0.000000
0.050000,0.616843,21.937500,0.616993,2.344575,4.935947,-0.000000,0.000000
0.050000,0.746412,21.937500,0.746562,2.591372,4.935947,0.000000,0.000000
0.050000,0.888320,21.937500,0.888470,2.838169,4.935947,-0.000000,0.000000
0.050000,1.042569,21.937500,1.042719,3.084967,4.935947,0.000000,0.000000
0.050000,1.209157,21.937500,1.209307,3.331764,4.935947,-0.000000,0.000000
0.050000,1.388085,21.937500,1.388235,3.578561,4.935947,-0.000000,0.000000
0.050000,1.579353,21.937500,1.579503,3.825359,4.935947,0.000000,0.000000
0.050000,1.782961,21.937500,1.783111,4.072156,4.935947,-0.000000,0.000000
0.050000,1.998908,21.937500,1.999058,4.318953,4.935947,-0.000000,0.000000
0.050000,2.227196,21.937500,2.227346,4.565751,4.935947,0.000000,0.000000
0.050000,2.467823,21.937500,2.467973,4.812548,4.935947,0.000000,0.000000
0.050000,2.720791,21.937500,2.720941,5.059345,4.935947,0.000000,0.000000
0.050000,2.986098,21.937500,2.986248,5.306143,4.935947,0.000000,0.000000
0.050000,3.263745,21.937500,3.263895,5.552940,4.935947,-0.000000,0.000000
0.050000,3.553732,21.937500,3.553882,5.799737,4.935947,-0.000000,0.000000
0.050000,3.856058,21.937500,3.856208,6.046535,4.935947,0.000000,0.000000
0.050000,4.170725,21.937500,4.170875,6.293332,4.935947,0.000000,0.000000
0.050000,4.497731,21.937500,4.497881,6.540129,4.935947,-0.000000,0.000000
0.050000,4.837078,21.937500,4.837228,6.786927,4.935947,0.000000,0.000000
0.050000,5.188764,21.937500,5.188914,7.033724,4.935947,0.000000,0.000000
0.050000,5.552790,21.937500,5.552940,7.280521,4.935947,-0.000000,0.000000
0.050000,5.929156,21.937500,5.929306,7.527319,4.935947,0.000000,0.000000
0.050000,6.317862,21.937500,6.318012,7.774116,4.935947,-0.000000,0.000000
0.050000,6.718908,21.937500,6.719058,8.020913,4.935947,0.000000,0.000000
0.050000,7.132293,21.937500,7.132443,8.267711,4.935947,-0.000000,0.000000
0.050000,7.558018,21.937500,7.558168,8.514508,4.935947,0.000000,0.000000
0.050000,7.996084,21.937500,7.996234,8.761305,4.935947,0.000000,0.000000
0.050000,8.446489,21.937500,8.446639,9.008103,4.935947,-0.000000,0.000000
0.050000,8.909234,21.937500,8.909384,9.254900,4.935947,-0.000000,0.000000
0.050000,9.384319,21.937500,9.384469,9.501698,4.935947,0.000000,0.000000
0.050000,9.871744,21.937500,9.871894,9.748495,4.935947,-0.000000,0.000000
0.050000,10.365182,21.937500,10.365332,9.868779,2.405690,-50.605132,0.000000
0.050000,10.852296,21.937500,10.852446,9.742267,-2.530257,-98.718935,0.000000
0.050000,11.327069,21.937500,11.327219,9.495469,-4.935947,-48.113803,0.000000
0.050000,11.789503,21.937500,11.789653,9.248672,-4.935947,-0.000000,0.000000
0.050000,12.239597,21.937500,12.239747,9.001875,-4.935947,0.000000,0.000000
0.050000,12.677350,21.937500,12.677500,8.755077,-4.935947,-0.000000,0.000000
0.050000,13.102764,21.937500,13.102914,8.508280,-4.935947,-0.000000,0.000000
0.050000,13.515839,21.937500,13.515989,8.261482,-4.935947,0.000000,0.000000
0.050000,13.916573,21.937500,13.916723,8.014685,-4.935947,-0.000000,0.000000
0.050000,14.304967,21.937500,14.305117,7.767888,-4.935947,0.000000,0.000000
0.050000,14.681022,21.937500,14.681172,7.521090,-4.935947,0.000000,0.000000
0.050000,15.038206,21.937384,15.038356,7.143683,-7.548145,-52.243967,6.277097
0.050000,15.337313,21.928285,15.337601,5.984907,-23.175525,-312.547606,6.228062
0.050000,15.623283,21.905502,15.624478,5.737527,-4.947601,364.558493,6.178998
0.050000,15.896026,21.870293,15.899484,5.500132,-4.747895,3.994114,6.130376
0.050000,16.155550,21.823979,16.163107,5.272466,-4.553333,3.891241,6.082652
0.050000,16.401942,21.767924,16.415796,5.053769,-4.373926,3.588130,6.036248
0.050000,16.635359,21.703502,16.657940,4.842881,-4.217773,3.123064,5.991531
0.050000,16.856007,21.632082,16.889858,4.638369,-4.090222,2.551033,5.948802
0.050000,17.064128,21.555006,17.111793,4.438689,-3.993607,1.932290,5.908289
0.050000,17.259989,21.473574,17.323909,4.242313,-3.927517,1.321795,5.870145
0.050000,17.443877,21.389028,17.526301,4.047843,-3.889413,0.762089,5.834462
0.050000,17.616086,21.302549,17.719004,3.854073,-3.875392,0.280426,5.801273
0.050000,17.776918,21.215242,17.902006,3.660027,-3.880917,-0.110502,5.770564
0.050000,17.926675,21.128134,18.075254,3.464957,-3.901398,-0.409636,5.742289
0.050000,18.065656,21.042173,18.238670,3.268328,-3.932590,-0.623835,5.716373
0.050000,18.194154,20.958225,18.392159,3.069787,-3.970809,-0.764384,5.692727
0.050000,18.312453,20.877076,18.535616,2.869136,-4.013022,-0.844245,5.671252
0.050000,18.420824,20.799433,18.668931,2.666295,-4.056832,-0.876199,5.651845
0.050000,18.519526,20.725930,18.791995,2.461274,-4.100420,-0.871756,5.634403
0.050000,18.608798,20.657131,18.904702,2.254151,-4.142452,-0.840658,5.618828
0.050000,18.688864,20.593530,19.006955,2.045051,-4.181991,-0.790771,5.605027
0.050000,18.759928,20.535564,19.098661,1.834131,-4.218401,-0.728206,5.592914
0.050000,18.822173,20.483609,19.179740,1.621567,-4.251278,-0.657544,5.582411
0.050000,18.875761,20.437988,19.250117,1.407548,-4.280384,-0.582103,5.573451
0.050000,18.920834,20.398973,19.309730,1.192269,-4.305593,-0.504190,5.565974
0.050000,18.957511,20.366789,19.358527,0.975926,-4.326860,-0.425328,5.559930
0.050000,18.985892,20.341616,19.396463,0.758717,-4.344182,-0.346448,5.555279
0.050000,19.006051,20.323591,19.423504,0.540837,-4.357584,-0.268041,5.551988
0.050000,19.018042,20.312812,19.439629,0.322482,-4.367098,-0.190281,5.550036
0.050000,19.022002,20.309244,19.444959,0.106605,-4.317550,0.990955,5.549392
0.050000,19.022002,20.309244,19.444959,0.000000,-2.132099,43.709029,5.549392
0.050000,19.022002,20.309244,19.444959,0.000000,0.000000,42.641976,5.549392
