dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,15.006058,24.062500,0.006112,0.244473,4.889453,97.789052,6.283169
0.050000,15.024450,24.062499,0.024503,0.367831,2.467170,-48.445646,6.283117
0.050000,15.055118,24.062496,0.055172,0.613373,4.910841,48.873413,6.283013
0.050000,15.098088,24.062485,0.098142,0.859397,4.920482,0.192823,6.282837
0.050000,15.153393,24.062458,0.153447,1.106097,4.933986,0.270084,6.282556
0.050000,15.221076,24.062401,0.221130,1.353665,4.951363,0.347539,6.282130
0.050000,15.301191,24.062293,0.301245,1.602296,4.972630,0.425329,6.281507
0.050000,15.393800,24.062098,0.393854,1.852187,4.997813,0.503662,6.280630
0.050000,15.498976,24.061768,0.499031,2.103535,5.026954,0.582816,6.279429
0.050000,15.616802,24.061234,0.616858,2.356540,5.060111,0.663154,6.277827
0.050000,15.747370,24.060401,0.747428,2.611409,5.097367,0.745120,6.275735
0.050000,15.890782,24.059145,0.890846,2.868350,5.138829,0.829235,6.273057
0.050000,16.047150,24.057304,1.047225,3.127582,5.184633,0.916078,6.269684
0.050000,16.216596,24.054669,1.216691,3.389329,5.234945,1.006245,6.265498
0.050000,16.399250,24.050979,1.399383,3.653827,5.289960,1.100292,6.260370
0.050000,16.595251,24.045910,1.595449,3.921321,5.349891,1.198628,6.254158
0.050000,16.804742,24.039060,1.805052,4.192069,5.414960,1.301366,6.246709
0.050000,17.027873,24.029947,2.028369,4.466338,5.485365,1.408101,6.237859
0.050000,17.264791,24.017983,2.265589,4.744400,5.561244,1.517593,6.227427
0.050000,17.515638,24.002470,2.516916,5.026530,5.642611,1.627331,6.215222
0.050000,17.780542,23.982580,2.782565,5.312993,5.729258,1.732940,6.201041
0.050000,18.059604,23.957337,3.062766,5.604025,5.820629,1.827422,6.184668
0.050000,18.352883,23.925605,3.357757,5.899807,5.915640,1.900222,6.165879
0.050000,18.653619,23.887009,3.660959,6.064050,3.284858,-52.615651,6.144937
0.050000,18.948517,23.842678,3.959170,5.964224,-1.996521,-105.627570,6.122763
0.050000,19.230891,23.793719,4.245758,5.731745,-4.649563,-53.060846,6.100024
0.050000,19.500413,23.740600,4.520465,5.494135,-4.752205,-2.052843,6.076963
0.050000,19.756791,23.683885,4.783041,5.251521,-4.852284,-2.001561,6.053814
0.050000,19.999777,23.624216,5.033246,5.004108,-4.948254,-1.919404,6.030804
0.050000,20.229176,23.562294,5.270855,4.752176,-5.038651,-1.807937,6.008145
0.050000,20.444845,23.498864,5.495658,4.496065,-5.122210,-1.671193,5.986035
0.050000,20.646699,23.434694,5.707466,4.236167,-5.197963,-1.515051,5.964651
0.050000,20.834706,23.370560,5.906112,3.972903,-5.265286,-1.346470,5.944152
0.050000,21.008884,23.307227,6.091447,3.706707,-5.323921,-1.172695,5.924675
0.050000,21.169297,23.245441,6.263347,3.438009,-5.373949,-1.000565,5.906340
0.050000,21.316043,23.185911,6.421708,3.167222,-5.415748,-0.835975,5.889242
0.050000,21.449251,23.129306,6.566445,2.894726,-5.449926,-0.683558,5.873465
0.050000,21.569070,23.076242,6.697488,2.620863,-5.477254,-0.546553,5.859070
0.050000,21.675660,23.027281,6.814784,2.345933,-5.498596,-0.426842,5.846109
0.050000,21.769186,22.982929,6.918294,2.070191,-5.514850,-0.325096,5.834620
0.050000,21.849809,22.943629,7.007986,1.793846,-5.526900,-0.240988,5.824631
0.050000,21.917684,22.909764,7.083840,1.517067,-5.535571,-0.173422,5.816162
0.050000,21.972947,22.881659,7.145839,1.239987,-5.541609,-0.120752,5.809228
0.050000,22.015717,22.859574,7.193974,0.962704,-5.545657,-0.080969,5.803838
0.050000,22.046089,22.843713,7.228239,0.685291,-5.548249,-0.051843,5.799998
0.050000,22.064134,22.834219,7.248629,0.407801,-5.549801,-0.031035,5.797712
0.050000,22.070082,22.831078,7.255355,0.134521,-5.465603,1.683951,5.796958
0.050000,22.070082,22.831078,7.255355,0.000000,-2.690422,55.503636,5.796958
0.050000,22.070082,22.831078,7.255355,0.000000,0.000000,53.808432,5.796958
