dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,15.006024,21.937500,0.006112,0.244473,4.889453,97.789052,6.283169
0.050000,15.024304,21.937499,0.024391,0.365587,2.422282,-49.343405,6.283117
0.050000,15.054753,21.937496,0.054841,0.608990,4.868064,48.915638,6.283013
0.050000,15.097349,21.937485,0.097436,0.851911,4.858423,-0.192824,6.282837
0.050000,15.152057,21.937458,0.152144,1.094157,4.844919,-0.270086,6.282556
0.050000,15.218833,21.937402,0.218921,1.335534,4.827542,-0.347542,6.282130
0.050000,15.297626,21.937296,0.297713,1.575848,4.806275,-0.425336,6.281507
0.050000,15.388370,21.937105,0.388458,1.814902,4.781091,-0.503676,6.280630
0.050000,15.490995,21.936783,0.491083,2.052500,4.751949,-0.582843,6.279429
0.050000,15.605416,21.936264,0.605505,2.288439,4.718789,-0.663200,6.277827
0.050000,15.731539,21.935460,0.731631,2.522516,4.681529,-0.745197,6.275735
0.050000,15.869260,21.934254,0.869357,2.754519,4.640061,-0.829358,6.273057
0.050000,16.018461,21.932498,1.018569,2.984231,4.594248,-0.916266,6.269684
0.050000,16.179013,21.930002,1.179140,3.211427,4.543921,-1.006528,6.265498
0.050000,16.350771,21.926532,1.350933,3.435872,4.488886,-1.100704,6.260370
0.050000,16.533576,21.921805,1.533799,3.657318,4.428926,-1.199215,6.254158
0.050000,16.727248,21.915474,1.727575,3.875509,4.363816,-1.302186,6.246709
0.050000,16.931587,21.907129,1.932084,4.090176,4.293355,-1.409227,6.237859
0.050000,17.146365,21.896285,2.147136,4.301046,4.217399,-1.519116,6.227427
0.050000,17.371328,21.882376,2.372528,4.507843,4.135931,-1.629360,6.215222
0.050000,17.606182,21.864745,2.608043,4.710301,4.049151,-1.735604,6.201041
0.050000,17.850594,21.842641,2.853452,4.908181,3.957608,-1.830868,6.184668
0.050000,18.104179,21.815209,3.108517,5.101300,3.862377,-1.904609,6.165879
0.050000,18.360775,21.782283,3.367217,5.173998,1.453972,-48.168108,6.144937
0.050000,18.609079,21.744964,3.618309,5.021844,-3.043078,-89.940986,6.122763
0.050000,18.843846,21.704264,3.856578,4.765376,-5.129363,-41.725712,6.100024
0.050000,19.065289,21.660626,4.082280,4.514046,-5.026612,2.055019,6.076963
0.050000,19.273639,21.614540,4.295667,4.267724,-4.926437,2.003509,6.053814
0.050000,19.469142,21.566535,4.496977,4.026205,-4.830385,1.921040,6.030804
0.050000,19.652057,21.517164,4.686437,3.789208,-4.739925,1.809207,6.008145
0.050000,19.822652,21.466993,4.864257,3.556392,-4.656321,1.672071,5.986035
0.050000,19.981202,21.416592,5.030625,3.327365,-4.580544,1.515541,5.964651
0.050000,20.127982,21.366522,5.185710,3.101704,-4.513214,1.346599,5.944152
0.050000,20.263266,21.317333,5.329659,2.878975,-4.454588,1.172511,5.924675
0.050000,20.387319,21.269552,5.462596,2.658746,-4.404582,1.000125,5.906340
0.050000,20.500400,21.223680,5.584627,2.440605,-4.362815,0.835344,5.889242
0.050000,20.602751,21.180188,5.695835,2.224171,-4.328675,0.682798,5.873465
0.050000,20.694601,21.139510,5.796290,2.009102,-4.301389,0.545721,5.859070
0.050000,20.776164,21.102046,5.886045,1.795097,-4.280090,0.425987,5.846109
0.050000,20.847630,21.068155,5.965140,1.581904,-4.263877,0.324260,5.834620
0.050000,20.909173,21.038155,6.033606,1.369310,-4.251867,0.240203,5.824631
0.050000,20.960945,21.012325,6.091463,1.157149,-4.243231,0.172711,5.816162
0.050000,21.003074,20.990899,6.138728,0.945287,-4.237224,0.120133,5.809228
0.050000,21.035666,20.974070,6.175409,0.733627,-4.233202,0.080453,5.803838
0.050000,21.058806,20.961986,6.201514,0.522096,-4.230630,0.051439,5.799998
0.050000,21.072551,20.954754,6.217046,0.310641,-4.229093,0.030744,5.797712
0.050000,21.077082,20.952361,6.222169,0.102464,-4.163547,1.310918,5.796958
0.050000,21.077082,20.952361,6.222169,0.000000,-2.049279,42.285357,5.796958
0.050000,21.077082,20.952361,6.222169,0.000000,0.000000,40.985576,5.796958
