dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,15.003944,24.062499,0.003678,0.147119,2.942375,58.847491,6.282859
0.050000,15.020077,24.062483,0.019811,0.322658,3.510788,11.368270,6.281522
0.050000,15.056404,24.062368,0.056139,0.726560,8.078037,91.344987,6.278485
0.050000,15.117040,24.061927,0.116776,1.212745,9.723704,32.913323,6.273339
0.050000,15.202120,24.060777,0.201864,1.701751,9.780122,1.128377,6.265951
0.050000,15.311839,24.058349,0.311610,2.194922,9.863423,1.666011,6.256123
0.050000,15.446457,24.053867,0.446302,2.693841,9.978373,2.299010,6.243587
0.050000,15.606299,24.046295,0.606323,3.200431,10.131796,3.068461,6.227980
0.050000,15.791765,24.034281,0.792178,3.717089,10.333152,4.027106,6.208828
0.050000,16.003325,24.016067,1.004520,4.246853,10.595288,5.242728,6.185514
0.050000,16.241514,23.989367,1.244201,4.793618,10.935292,6.800068,6.157237
0.050000,16.506902,23.951197,1.512320,5.362375,11.375150,8.797169,6.122959
0.050000,16.800022,23.897642,1.810292,5.959446,11.941410,11.325196,6.081346
0.050000,17.121211,23.823539,2.139919,6.592532,12.661720,14.406211,6.030698
0.050000,17.470276,23.722084,2.503429,7.270202,13.553415,17.833889,5.968907
0.050000,17.845839,23.584427,2.903425,7.999922,14.594395,20.819601,5.893512
0.050000,18.244146,23.399484,3.342576,8.783011,15.661770,21.347509,5.801979
0.050000,18.657224,23.154549,3.822811,9.604713,16.434043,15.445453,5.692467
0.050000,19.070823,22.837663,4.343849,10.420759,16.320929,-2.262275,5.565217
0.050000,19.463973,22.442215,4.901474,11.152495,14.634721,-33.724159,5.424197
0.050000,19.812796,21.971796,5.487113,11.712779,11.205676,-68.580902,5.277521
0.050000,20.098204,21.440524,6.090195,12.061632,6.977060,-84.572319,5.135214
0.050000,20.311790,20.867108,6.702097,12.238055,3.528464,-68.971930,5.005450
0.050000,20.455309,20.267652,7.318494,12.327939,1.797678,-34.615721,4.892320
0.050000,20.536022,19.652477,7.938942,12.408947,1.620166,-3.550232,4.796233
0.050000,20.562458,19.026779,8.565197,12.525114,2.323328,14.063237,4.715514
0.050000,20.562500,18.460840,9.131136,11.318779,-24.126689,-529.000348,4.712389
0.050000,20.562500,17.876043,9.715933,11.695939,7.543190,633.397588,4.712389
0.050000,20.562500,17.269178,10.322798,12.137295,8.827124,25.678674,4.712389
0.050000,20.562500,16.640246,10.951731,12.578651,8.827124,0.000000,4.712389
0.050000,20.562500,15.992924,11.599053,12.946448,7.355936,-29.423745,4.712389
0.050000,20.562500,15.334567,12.257409,13.167126,4.413562,-58.847491,4.712389
0.050000,20.562500,14.674652,12.917324,13.198297,0.623409,-75.803059,4.712389
0.050000,20.562500,14.022654,13.569322,13.039959,-3.166744,-75.803059,4.712389
0.050000,20.562500,13.385929,14.206047,12.734503,-6.109119,-58.847491,4.712389
0.050000,20.562500,12.769713,14.822263,12.324318,-8.203715,-41.891922,4.712389
0.050000,20.562500,12.175565,15.416411,11.882961,-8.827124,-12.468177,4.712389
0.050000,20.562500,11.603485,15.988491,11.441605,-8.827124,-0.000000,4.712389
0.050000,20.562500,11.053473,16.538504,11.000249,-8.827124,-0.000000,4.712389
0.050000,20.562500,10.525528,17.066449,10.558893,-8.827124,0.000000,4.712389
0.050000,20.562500,10.019651,17.572325,10.117537,-8.827124,-0.000000,4.712389
0.050000,20.562500,9.535842,18.056134,9.676181,-8.827124,0.000000,4.712389
0.050000,20.562500,9.074101,18.517876,9.234824,-8.827124,0.000000,4.712389
0.050000,20.562500,8.634427,18.957549,8.793468,-8.827124,-0.000000,4.712389
0.050000,20.562500,8.216822,19.375155,8.352112,-8.827124,0.000000,4.712389
0.050000,20.565560,7.875447,19.716543,6.827771,-30.486811,-433.193753,4.763273
0.050000,20.591426,7.646033,19.947410,4.617342,-44.208588,-274.435544,4.897327
0.050000,20.635608,7.481142,20.118118,3.414157,-24.063709,402.897585,5.067202
0.050000,20.685287,7.377392,20.233149,2.300622,-22.270698,35.860215,5.268717
0.050000,20.735470,7.312600,20.315102,1.639065,-13.231138,180.791205,5.480629
0.050000,20.796635,7.260948,20.395159,1.601129,-0.758722,249.448322,5.673587
0.050000,20.880207,7.212497,20.491760,1.932032,6.618059,147.535619,5.830228
0.050000,20.985674,7.169256,20.605747,2.279738,6.954126,6.721348,5.949765
0.050000,21.104663,7.134238,20.729782,2.480691,4.019055,-58.701434,6.039102
0.050000,21.227907,7.108075,20.855773,2.519824,0.782660,-64.727891,6.105843
0.050000,21.348052,7.089755,20.977307,2.430669,-1.783089,-51.314980,6.156021
0.050000,21.459880,7.077673,21.089786,2.249584,-3.621707,-36.772367,6.193956
0.050000,21.559832,7.070209,21.190015,2.004591,-4.899853,-25.562913,6.222653
0.050000,21.645498,7.065961,21.275787,1.715434,-5.783150,-17.665941,6.244190
0.050000,21.715254,7.063799,21.345577,1.395795,-6.392766,-12.192321,6.260000
0.050000,21.768012,7.062871,21.398343,1.055318,-6.809543,-8.335545,6.271063
0.050000,21.803063,7.062569,21.433395,0.701052,-7.085329,-5.515703,6.278028
0.050000,21.821748,7.062506,21.452080,0.373696,-6.547111,10.764344,6.281623
0.050000,21.828702,7.062500,21.459034,0.139070,-4.692528,37.091658,6.282940
0.050000,21.830000,7.062500,21.460332,0.025967,-2.262046,48.609639,0.000000
0.050000,21.830000,7.062500,21.460332,0.000000,-0.519348,34.853967,0.000000
