dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,12.005632,21.937505,0.003682,0.147269,2.945380,58.907596,0.001881
0.050000,12.028488,21.937636,0.026538,0.457129,6.197193,65.036268,0.009532
0.050000,12.080077,21.938575,0.078135,1.031942,11.496275,105.981642,0.026908
0.050000,12.166477,21.942170,0.164611,1.729510,13.951355,49.101590,0.056323
0.050000,12.288025,21.951581,0.286522,2.438224,14.174272,4.458337,0.098303
0.050000,12.444521,21.971361,0.444264,3.154831,14.332147,3.157508,0.153225
0.050000,12.634462,22.007307,0.637576,3.866246,14.228293,-2.077085,0.220851
0.050000,12.854103,22.065828,0.864879,4.546067,13.596421,-12.637443,0.299698
0.050000,13.096833,22.152620,1.122660,5.155613,12.190929,-28.109837,0.386459
0.050000,13.353584,22.270926,1.405356,5.653918,9.966102,-44.496536,0.475892
0.050000,13.614621,22.420262,1.706091,6.014709,7.215822,-55.005593,0.561510
0.050000,13.871967,22.596487,2.017992,6.238012,4.466055,-54.995346,0.636828
0.050000,14.120985,22.793022,2.335224,6.344643,2.132607,-46.668960,0.696349
0.050000,14.360406,23.002095,2.653083,6.357181,0.250763,-37.636873,0.735643
0.050000,14.591194,23.215075,2.967127,6.280874,-1.526127,-35.537804,0.750539
0.050000,14.814898,23.421791,3.271716,6.091784,-3.781803,-45.113534,0.735746
0.050000,15.031620,23.609371,3.558343,5.732536,-7.184962,-68.063172,0.683284
0.050000,15.237545,23.762161,3.814760,5.128343,-12.083867,-97.978107,0.581670
0.050000,15.424735,23.866567,4.029098,4.286760,-16.831663,-94.955907,0.419778
0.050000,15.593868,23.922066,4.207104,3.560114,-14.532909,45.975085,0.203014
0.050000,15.801025,23.937339,4.414823,4.154384,11.885398,528.366124,6.276847
0.050000,16.194273,23.924297,4.808287,7.869283,74.297986,1248.251759,6.221000
0.050000,16.589608,23.885821,5.205490,7.944059,1.495521,-1456.049294,6.147917
0.050000,16.975878,23.814895,5.598217,7.854550,-1.790179,-65.713988,6.049894
0.050000,17.336196,23.705005,5.974920,7.534052,-6.409974,-92.395917,5.916115
0.050000,17.649805,23.552789,6.323518,6.971951,-11.242016,-96.640826,5.735276
0.050000,17.903988,23.356578,6.644622,6.422079,-10.997430,4.891706,5.507980
0.050000,18.106943,23.101110,6.970896,6.525488,2.068163,261.311867,5.264869
0.050000,18.269113,22.755700,7.352481,7.631703,22.124305,401.122837,5.052931
0.050000,18.385534,22.308820,7.814277,9.235922,32.084391,199.201716,4.895468
0.050000,18.452605,21.774656,8.352635,10.767157,30.624696,-29.193894,4.789063
0.050000,18.476820,21.171689,8.956088,12.069056,26.037979,-91.734339,4.722999
