dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,12.937500,22.996373,0.003657,0.146298,2.925952,58.519047,4.712389
0.050000,12.937500,22.985400,0.014630,0.219446,1.462976,-29.259523,4.712389
0.050000,12.937500,22.967113,0.032917,0.365744,2.925952,29.259523,4.712389
0.050000,12.937500,22.941511,0.058519,0.512042,2.925952,-0.000000,4.712389
0.050000,12.937500,22.908594,0.091436,0.658339,2.925952,0.000000,4.712389
0.050000,12.937500,22.868362,0.131668,0.804637,2.925952,-0.000000,4.712389
0.050000,12.937500,22.820815,0.179215,0.950935,2.925952,0.000000,4.712389
0.050000,12.937500,22.765954,0.234076,1.097232,2.925952,0.000000,4.712389
0.050000,12.937500,22.703777,0.296253,1.243530,2.925952,-0.000000,4.712389
0.050000,12.937500,22.634286,0.365744,1.389827,2.925952,-0.000000,4.712389
0.050000,12.937500,22.557480,0.442550,1.536125,2.925952,-0.000000,4.712389
0.050000,12.937500,22.473359,0.526671,1.682423,2.925952,0.000000,4.712389
0.050000,12.937500,22.381923,0.618107,1.828720,2.925952,0.000000,4.712389
0.050000,12.937500,22.283172,0.716858,1.975018,2.925952,0.000000,4.712389
0.050000,12.937500,22.177106,0.822924,2.121315,2.925952,0.000000,4.712389
0.050000,12.937500,22.063725,0.936305,2.267613,2.925952,-0.000000,4.712389
0.050000,12.937500,21.943030,1.057000,2.413911,2.925952,0.000000,4.712389
0.050000,12.937500,21.815019,1.185011,2.560208,2.925952,0.000000,4.712389
0.050000,12.937500,21.679694,1.320336,2.706506,2.925952,0.000000,4.712389
0.050000,12.937500,21.537054,1.462976,2.852804,2.925952,-0.000000,4.712389
0.050000,12.937500,21.392562,1.607468,2.889842,0.740777,-43.703517,4.712389
0.050000,12.937500,21.253533,1.746497,2.780584,-2.185176,-58.519047,4.712389
0.050000,12.937500,21.121818,1.878212,2.634286,-2.925952,-14.815530,4.712389
0.050000,12.937500,20.997419,2.002611,2.487988,-2.925952,-0.000000,4.712389
0.050000,12.937500,20.880334,2.119696,2.341691,-2.925952,0.000000,4.712389
0.050000,12.937500,20.770565,2.229465,2.195393,-2.925952,0.000000,4.712389
0.050000,12.937500,20.668110,2.331920,2.049095,-2.925952,0.000000,4.712389
0.050000,12.937500,20.572970,2.427060,1.902798,-2.925952,0.000000,4.712389
0.050000,12.937500,20.485145,2.514885,1.756500,-2.925952,0.000000,4.712389
0.050000,12.937500,20.404635,2.595395,1.610203,-2.925952,0.000000,4.712389
0.050000,12.937500,20.331440,2.668590,1.463905,-2.925952,-0.000000,4.712389
0.050000,12.937500,20.265559,2.734471,1.317607,-2.925952,0.000000,4.712389
0.050000,12.937500,20.206994,2.793036,1.171310,-2.925952,-0.000000,4.712389
0.050000,12.937500,20.155743,2.844287,1.025012,-2.925952,0.000000,4.712389
0.050000,12.937500,20.111807,2.888223,0.878715,-2.925952,0.000000,4.712389
0.050000,12.937500,20.075187,2.924843,0.732417,-2.925952,-0.000000,4.712389
0.050000,12.937500,20.045881,2.954149,0.586119,-2.925952,0.000000,4.712389
0.050000,12.937500,20.023889,2.976141,0.439822,-2.925952,-0.000000,4.712389
0.050000,12.937500,20.009213,2.990817,0.293524,-2.925952,-0.000000,4.712389
0.050000,12.937500,20.001852,2.998178,0.147226,-2.925952,0.000000,4.712389
0.050000,12.937500,20.000000,3.000030,0.037039,-2.203753,14.443993,4.712389
0.050000,12.937500,20.000000,3.000030,0.000000,-0.740777,29.259523,4.712389
