dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.294541,14.062503,0.006110,0.244401,4.888014,97.760278,0.001369
0.050000,0.308413,14.062551,0.019982,0.277436,0.660703,-84.546225,0.005565
0.050000,0.331491,14.062761,0.043061,0.461586,3.683008,60.446110,0.012596
0.050000,0.363714,14.063326,0.075289,0.644557,3.659423,-0.471701,0.022518
0.050000,0.404994,14.064521,0.116586,0.825945,3.627751,-0.633436,0.035405
0.050000,0.455218,14.066700,0.166857,1.005425,3.589595,-0.763118,0.051347
0.050000,0.514248,14.070297,0.225997,1.182794,3.547386,-0.844190,0.070443
0.050000,0.581924,14.075831,0.293899,1.358027,3.504651,-0.854708,0.092794
0.050000,0.658064,14.083901,0.370466,1.531342,3.466317,-0.766676,0.118489
0.050000,0.742477,14.095195,0.455630,1.703292,3.438988,-0.546582,0.147593
0.050000,0.834964,14.110483,0.549373,1.874846,3.431091,-0.157942,0.180124
0.050000,0.935337,14.130627,0.651747,2.047484,3.452746,0.433114,0.216030
0.050000,1.043428,14.156575,0.762909,2.223242,3.515159,1.248261,0.255165
0.050000,1.159105,14.189369,0.883144,2.404709,3.629351,2.283834,0.297261
0.050000,1.282278,14.230142,1.012890,2.594918,3.804179,3.496558,0.341904
0.050000,1.412901,14.280112,1.152746,2.797112,4.043875,4.793923,0.388532
0.050000,1.550967,14.340565,1.303466,3.014398,4.345718,6.036863,0.436435
0.050000,1.696480,14.412824,1.465932,3.249336,4.698770,7.061031,0.484781
0.050000,1.849442,14.498205,1.641111,3.503564,5.084551,7.715617,0.532664
0.050000,2.009835,14.597950,1.829989,3.777561,5.479953,7.908048,0.579154
0.050000,2.177616,14.713167,2.033521,4.070648,5.861741,7.635768,0.623353
0.050000,2.352741,14.844768,2.252582,4.381210,6.211232,6.989817,0.664440
0.050000,2.535207,14.993421,2.487936,4.707093,6.517668,6.128709,0.701694
0.050000,2.725110,15.159535,2.740240,5.046067,6.779467,5.235993,0.734500
0.050000,2.922712,15.343252,3.010052,5.396242,7.003497,4.480594,0.762331
0.050000,3.128515,15.544462,3.297872,5.756400,7.203172,3.993501,0.784716
0.050000,3.343336,15.762816,3.604183,6.126218,7.396350,3.863554,0.801203
0.050000,3.568383,15.997735,3.929503,6.506402,7.603685,4.146698,0.811301
0.050000,3.800517,16.243283,4.267408,6.758105,5.034071,-51.392277,0.814446
0.050000,4.032986,16.489006,4.605670,6.765250,0.142890,-97.823609,0.810645
0.050000,4.263402,16.729155,4.938481,6.656208,-2.180832,-46.474440,0.800473
0.050000,4.492703,16.961954,5.265245,6.535274,-2.418687,-4.757112,0.784488
0.050000,4.721617,17.185841,5.585443,6.403968,-2.626115,-4.148552,0.763179
0.050000,4.950627,17.399413,5.898587,6.262872,-2.821928,-3.916260,0.737006
0.050000,5.179939,17.601402,6.204173,6.111736,-3.022710,-4.015638,0.706441
0.050000,5.409446,17.790669,6.501655,5.949632,-3.242080,-4.387402,0.672001
0.050000,5.638711,17.966221,6.790413,5.775154,-3.489576,-4.949918,0.634268
0.050000,5.866962,18.127246,7.069747,5.586685,-3.769368,-5.595843,0.593902
0.050000,6.093106,18.273167,7.338883,5.382722,-4.079273,-6.198108,0.551631
0.050000,6.315785,18.403685,7.596993,5.162190,-4.410634,-6.627204,0.508237
0.050000,6.533445,18.518820,7.843228,4.924716,-4.749468,-6.776685,0.464517
0.050000,6.744438,18.618930,8.076767,4.670772,-5.078882,-6.588288,0.421248
0.050000,6.947123,18.704694,8.296850,4.401663,-5.382189,-6.066138,0.379144
0.050000,7.139958,18.777067,8.502819,4.119370,-5.645857,-5.273350,0.338824
0.050000,7.321569,18.837221,8.694133,3.826296,-5.861472,-4.312308,0.300798
0.050000,7.490801,18.886461,8.870382,3.524980,-6.026326,-3.297075,0.265452
0.050000,7.646720,18.926151,9.031275,3.217843,-6.142747,-2.328435,0.233061
0.050000,7.788617,18.957647,9.176625,2.907009,-6.216677,-1.478581,0.203797
0.050000,7.915975,18.982242,9.306335,2.594208,-6.256027,-0.787019,0.177754
0.050000,8.028438,19.001125,9.420373,2.280744,-6.269266,-0.264779,0.154962
0.050000,8.125779,19.015356,9.518749,1.967524,-6.264402,0.097297,0.135409
0.050000,8.207865,19.025857,9.601504,1.655104,-6.248403,0.319969,0.119058
0.050000,8.274629,19.033396,9.668692,1.343755,-6.226973,0.428593,0.105858
0.050000,8.326043,19.038596,9.720368,1.033528,-6.204546,0.448541,0.095756
0.050000,8.362104,19.041932,9.756584,0.724307,-6.184411,0.402702,0.088704
0.050000,8.382819,19.043732,9.777377,0.415863,-6.168881,0.310600,0.084666
0.050000,8.389341,19.044281,9.783922,0.130902,-5.699221,9.393204,0.083397
0.050000,8.389341,19.044281,9.783922,0.000000,-2.618048,61.623469,0.083397
0.050000,8.389341,19.044281,9.783922,0.000000,0.000000,52.360953,0.083397
