dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.333032,11.950000,0.003062,0.122488,2.449764,48.995274,0.000000
0.050000,0.345281,11.950000,0.015311,0.244976,2.449764,0.000000,0.000000
0.050000,0.372841,11.950000,0.042871,0.551197,6.124409,73.492910,0.000000
0.050000,0.418774,11.950000,0.088804,0.918661,7.349291,24.497637,0.000000
0.050000,0.483080,11.950000,0.153110,1.286126,7.349291,-0.000000,0.000000
0.050000,0.565760,11.950000,0.235790,1.653590,7.349291,0.000000,0.000000
0.050000,0.666813,11.950000,0.336843,2.021055,7.349291,0.000000,0.000000
0.050000,0.786238,11.950000,0.456268,2.388520,7.349291,-0.000000,0.000000
0.050000,0.924038,11.950000,0.594068,2.755984,7.349291,0.000000,0.000000
0.050000,1.080210,11.950000,0.750240,3.123449,7.349291,0.000000,0.000000
0.050000,1.254756,11.950000,0.924786,3.490913,7.349291,-0.000000,0.000000
0.050000,1.447675,11.950000,1.117705,3.858378,7.349291,0.000000,0.000000
0.050000,1.658967,11.950000,1.328997,4.225842,7.349291,-0.000000,0.000000
0.050000,1.888632,11.950000,1.558662,4.593307,7.349291,0.000000,0.000000
0.050000,2.136671,11.950000,1.806701,4.960771,7.349291,0.000000,0.000000
0.050000,2.403083,11.950000,2.073113,5.328236,7.349291,-0.000000,0.000000
0.050000,2.687868,11.950000,2.357898,5.695701,7.349291,0.000000,0.000000
0.050000,2.991026,11.950000,2.661056,6.063165,7.349291,0.000000,0.000000
0.050000,3.312557,11.950000,2.982587,6.430630,7.349291,-0.000000,0.000000
0.050000,3.766075,11.973091,3.436693,9.082109,53.029589,913.605954,0.109087
0.050000,4.278471,12.068837,3.957957,10.425294,26.863694,-523.317887,0.264815
0.050000,4.828995,12.278984,4.547227,11.785394,27.202004,6.766197,0.468281
0.050000,5.362499,12.632841,5.187415,12.803763,20.367370,-136.692687,0.703180
0.050000,5.804497,13.103607,5.833158,12.914849,2.221738,-362.912631,0.925738
0.050000,6.125456,13.621174,6.442165,12.180141,-14.694168,-338.318132,1.098172
0.050000,6.348782,14.132888,7.000489,11.166480,-20.273216,-111.580958,1.213160
0.050000,6.509147,14.614659,7.508250,10.155216,-20.225291,0.958505,1.279737
0.050000,6.633413,15.056485,7.967217,9.179351,-19.517289,14.160043,1.308415
0.050000,6.739611,15.454062,8.378734,8.230338,-18.980268,10.740409,1.306366
0.050000,6.839131,15.804641,8.743164,7.288606,-18.834636,2.912642,1.276931
0.050000,6.938695,16.105883,9.060434,6.345397,-18.864182,-0.590927,1.220107
0.050000,7.040485,16.353554,9.328207,5.355448,-19.798978,-18.695908,1.133680
0.050000,7.142297,16.543879,9.544051,4.316898,-20.770998,-19.440408,1.015337
0.050000,7.239045,16.678247,9.709627,3.311511,-20.107741,13.265138,0.866642
0.050000,7.328114,16.767540,9.835748,2.522414,-15.781945,86.515937,0.697868
0.050000,7.415066,16.828736,9.942075,2.126541,-7.917457,157.289757,0.527721
0.050000,7.510192,16.874495,10.047634,2.111194,-0.306942,152.210299,0.374317
0.050000,7.619071,16.909048,10.161865,2.284609,3.468310,75.505044,0.246644
0.050000,7.739846,16.932681,10.284931,2.461321,3.534232,1.318421,0.144861
0.050000,7.866907,16.945840,10.412671,2.554800,1.869579,-33.293058,0.065010
0.050000,7.994381,16.949993,10.540213,2.550834,-0.079319,-38.977953,0.002455
0.050000,8.166665,16.950000,10.712497,3.445681,17.896949,359.525354,0.000000
0.050000,8.323163,16.950000,10.868995,3.129964,-6.314342,-484.225812,0.000000
0.050000,8.461288,16.950000,11.007120,2.762500,-7.349291,-20.698982,0.000000
0.050000,8.581040,16.950000,11.126872,2.395035,-7.349291,0.000000,0.000000
0.050000,8.682418,16.950000,11.228250,2.027571,-7.349291,-0.000000,0.000000
0.050000,8.765424,16.950000,11.311256,1.660106,-7.349291,0.000000,0.000000
0.050000,8.830056,16.950000,11.375888,1.292642,-7.349291,-0.000000,0.000000
0.050000,8.876315,16.950000,11.422146,0.925177,-7.349291,-0.000000,0.000000
0.050000,8.904200,16.950000,11.450032,0.557712,-7.349291,0.000000,0.000000
0.050000,8.916721,16.950000,11.462552,0.250406,-6.146128,24.063261,0.000000
0.050000,8.919946,16.950000,11.465778,0.064502,-3.718083,48.560898,0.000000
0.050000,8.920000,16.950000,11.465832,0.001086,-1.268319,48.995274,0.000000
0.050000,8.920000,16.950000,11.465832,0.000000,-0.021719,24.932012,0.000000
