dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.337562,14.062495,0.006158,0.246317,4.926334,98.526674,6.281762
0.050000,0.360663,14.062411,0.029258,0.462008,4.313825,-12.250165,6.277408
0.050000,0.399198,14.062048,0.067795,0.770741,6.174656,37.216605,6.270116
0.050000,0.453215,14.061065,0.121821,1.080523,6.195641,0.419697,6.259838
0.050000,0.522768,14.058978,0.191406,1.391684,6.223227,0.551723,6.246507
0.050000,0.607905,14.055153,0.276628,1.704452,6.255357,0.642604,6.230049
0.050000,0.708650,14.048802,0.377573,2.018903,6.289019,0.673248,6.210385
0.050000,0.824981,14.038977,0.494319,2.334903,6.320001,0.619629,6.187440
0.050000,0.956798,14.024570,0.626920,2.652035,6.342651,0.453001,6.161161
0.050000,1.103886,14.004318,0.775396,2.969522,6.349726,0.141499,6.131532
0.050000,1.265877,13.976825,0.939704,3.286144,6.332438,-0.345753,6.098592
0.050000,1.442202,13.940594,1.119713,3.600187,6.280859,-1.031577,6.062463
0.050000,1.632058,13.894075,1.315184,3.909429,6.184843,-1.920321,6.023371
0.050000,1.834376,13.835741,1.525745,4.211206,6.035547,-2.985927,5.981665
0.050000,2.047827,13.764173,1.750874,4.502578,5.827445,-4.162036,5.937837
0.050000,2.270842,13.678153,1.989904,4.780600,5.560435,-5.340208,5.892515
0.050000,2.501688,13.576757,2.242037,5.042667,5.241329,-6.382116,5.846450
0.050000,2.738562,13.459418,2.506380,5.286865,4.883961,-7.147359,5.800483
0.050000,2.979709,13.325964,2.781992,5.512236,4.507422,-7.530787,5.755502
0.050000,3.223549,13.176614,3.067935,5.718868,4.132641,-7.495608,5.712390
0.050000,3.468776,13.011937,3.363324,5.907781,3.778259,-7.087646,5.671981
0.050000,3.714428,12.832798,3.667356,6.080633,3.457054,-6.424102,5.635032
0.050000,3.959919,12.640296,3.979323,6.239329,3.173918,-5.662708,5.602209
0.050000,4.205042,12.435712,4.298603,6.385611,2.925634,-4.965680,5.574097
0.050000,4.449937,12.220478,4.624639,6.520712,2.702010,-4.472495,5.551222
0.050000,4.695060,11.996184,4.956893,6.645092,2.487602,-4.288156,5.534088
0.050000,4.941132,11.764594,5.294806,6.758259,2.263338,-4.485286,5.523222
0.050000,5.189094,11.527704,5.637738,6.858642,2.007678,-5.113192,5.519225
0.050000,5.431722,11.295752,5.973401,6.713260,-2.907644,-98.306436,5.522576
0.050000,5.662006,11.078594,6.289927,6.330507,-7.655057,-94.948261,5.532854
0.050000,5.881170,10.877421,6.587422,5.949913,-7.611881,0.863517,5.549449
0.050000,6.090370,10.692777,6.866453,5.580606,-7.386142,4.514783,5.571829
0.050000,6.290390,10.524951,7.127553,5.222013,-7.171862,4.285601,5.599491
0.050000,6.481723,10.373973,7.371280,4.874526,-6.949740,4.442435,5.631911
0.050000,6.664646,10.239613,7.598246,4.539328,-6.703969,4.915426,5.668512
0.050000,6.839294,10.121377,7.809153,4.218136,-6.423834,5.602689,5.708635
0.050000,7.005718,10.018522,8.004796,3.912863,-6.105467,6.367343,5.751532
0.050000,7.163944,9.930090,8.186056,3.625209,-5.753069,7.047953,5.796374
0.050000,7.313999,9.854958,8.353870,3.356267,-5.378836,7.484678,5.842281
0.050000,7.455929,9.791893,8.509180,3.106214,-5.001077,7.555166,5.888365
0.050000,7.589792,9.739615,8.652889,2.874176,-4.640747,7.206608,5.933778
0.050000,7.715640,9.696852,8.785805,2.658312,-4.317292,6.469096,5.977760
0.050000,7.833505,9.662378,8.908608,2.456055,-4.045122,5.443396,6.019670
0.050000,7.943378,9.635037,9.021831,2.264471,-3.831681,4.268825,6.059006
0.050000,8.045209,9.613759,9.125861,2.080601,-3.677404,3.085543,6.095404
0.050000,8.138906,9.597564,9.220949,1.901745,-3.577130,2.005486,6.128629
0.050000,8.224349,9.585561,9.307230,1.725635,-3.522190,1.098786,6.158552
0.050000,8.301395,9.576948,9.384756,1.550512,-3.502459,0.394631,6.185125
0.050000,8.369894,9.571014,9.453512,1.375116,-3.507924,-0.109308,6.208362
0.050000,8.429700,9.567132,9.513443,1.198633,-3.529664,-0.434798,6.228312
0.050000,8.480676,9.564761,9.564474,1.020619,-3.560287,-0.612466,6.245049
0.050000,8.522701,9.563444,9.606520,0.840918,-3.594005,-0.674357,6.258651
0.050000,8.555675,9.562809,9.639500,0.659594,-3.626488,-0.649649,6.269195
0.050000,8.579517,9.562566,9.663343,0.476863,-3.654628,-0.562806,6.276747
0.050000,8.594169,9.562505,9.677995,0.293048,-3.676296,-0.433360,6.281357
0.050000,8.599596,9.562500,9.683422,0.108542,-3.690122,-0.276530,6.283059
0.050000,8.600000,9.562500,9.683827,0.008082,-2.009183,33.618797,0.000000
0.050000,8.600000,9.562500,9.683827,0.000000,-0.161650,36.950658,0.000000
