dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.294070,11.937498,0.005488,0.219537,4.390737,87.814730,6.281959
0.050000,0.310685,11.937435,0.022103,0.332296,2.255186,-42.711008,6.276935
0.050000,0.343832,11.937061,0.055252,0.662980,6.613687,87.170009,6.266809
0.050000,0.393345,11.935870,0.104779,0.990542,6.551221,-1.249305,6.251437
0.050000,0.458971,11.933104,0.170464,1.313701,6.463184,-1.760753,6.230610
0.050000,0.540376,11.927742,0.252045,1.631610,6.358193,-2.099804,6.204082
0.050000,0.637142,11.918495,0.349252,1.944150,6.250796,-2.147945,6.171602
0.050000,0.748797,11.903804,0.461870,2.252342,6.163840,-1.739124,6.132965
0.050000,0.874840,11.881832,0.589813,2.558868,6.130524,-0.666319,6.088094
0.050000,1.014796,11.850456,0.733243,2.868594,6.194510,1.279715,6.037141
0.050000,1.168276,11.807257,0.892686,3.188873,6.405586,4.221523,5.980603
0.050000,1.335026,11.749516,1.069151,3.529295,6.808435,8.056990,5.919428
0.050000,1.514939,11.674238,1.264178,3.900534,7.424776,12.326812,5.855067
0.050000,1.708000,11.578232,1.479792,4.312292,8.235158,16.207631,5.789425
0.050000,1.914199,11.458290,1.718338,4.770913,9.172437,18.745584,5.724705
0.050000,2.133456,11.311447,1.982226,5.277756,10.136843,19.288133,5.663175
0.050000,2.365641,11.135265,2.273687,5.829227,11.029418,17.851498,5.606931
0.050000,2.610709,10.928056,2.594614,6.418546,11.786397,15.139579,5.557752
0.050000,2.868962,10.688990,2.946533,7.038378,12.396626,12.204573,5.517071
0.050000,3.141342,10.418082,3.330697,7.683272,12.897883,10.025145,5.486068
0.050000,3.429763,10.116128,3.748264,8.351352,13.361605,9.274444,5.465834
0.050000,3.733743,9.788678,4.195062,8.935948,11.691913,-33.393844,5.457608
0.050000,4.047404,9.449563,4.656994,9.238650,6.054051,-112.757238,5.462127
0.050000,4.364507,9.114010,5.118677,9.233660,-0.099816,-123.077343,5.478916
0.050000,4.683052,8.791721,5.571822,9.062900,-3.415199,-66.307665,5.506842
0.050000,5.003813,8.487916,6.013620,8.835947,-4.539055,-22.477124,5.544760
0.050000,5.327696,8.206223,6.442865,8.584900,-5.020929,-9.637480,5.591539
0.050000,5.654418,7.949908,6.858130,8.305298,-5.592047,-11.422350,5.645834
0.050000,5.982355,7.721729,7.257640,7.990206,-6.301843,-14.195924,5.705972
0.050000,6.308548,7.523653,7.639263,7.632455,-7.155023,-17.063599,5.769941
0.050000,6.628939,7.356518,8.000627,7.227294,-8.103219,-18.963916,5.835506
0.050000,6.938850,7.219806,8.339353,6.774509,-9.055686,-19.049347,5.900421
0.050000,7.233576,7.111631,8.653304,6.279022,-9.909739,-17.081063,5.962673
0.050000,7.508928,7.028994,8.940789,5.749705,-10.586341,-13.532039,6.020668
0.050000,7.761570,6.968187,9.200645,5.197123,-11.051642,-9.306022,6.073312
0.050000,7.989120,6.925250,9.432211,4.631303,-11.316397,-5.295092,6.119983
0.050000,8.190064,6.896331,9.635225,4.060299,-11.420080,-2.073670,6.160439
0.050000,8.363578,6.877945,9.809710,3.489694,-11.412115,0.159306,6.194700
0.050000,8.509313,6.867093,9.955849,2.922770,-11.338478,1.472746,6.222941
0.050000,8.627221,6.861313,10.073898,2.360995,-11.235499,2.059585,6.245405
0.050000,8.717410,6.858670,10.164126,1.804550,-11.128903,2.131911,6.262345
0.050000,8.780041,6.857730,10.226765,1.252777,-11.035459,1.868878,6.273981
0.050000,8.815266,6.857520,10.261990,0.704510,-10.965338,1.402416,6.280478
0.050000,8.828022,6.857500,10.274746,0.255116,-8.987867,39.549419,6.282822
0.050000,8.830000,6.857500,10.276724,0.039560,-4.311120,93.534942,0.000000
0.050000,8.830000,6.857500,10.276724,0.000000,-0.791208,70.398240,0.000000
