dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003585,5.000000,0.003725,0.148982,2.979631,59.592624,0.000000
0.050000,0.014758,5.000000,0.014898,0.223472,1.489816,-29.796312,0.000000
0.050000,0.033381,5.000000,0.033521,0.372454,2.979631,29.796312,0.000000
0.050000,0.059453,5.000000,0.059593,0.521435,2.979631,0.000000,0.000000
0.050000,0.092973,5.000000,0.093113,0.670417,2.979631,0.000000,0.000000
0.050000,0.133943,5.000000,0.134083,0.819399,2.979631,-0.000000,0.000000
0.050000,0.182362,5.000000,0.182502,0.968380,2.979631,-0.000000,0.000000
0.050000,0.238230,5.000000,0.238370,1.117362,2.979631,0.000000,0.000000
0.050000,0.301548,5.000000,0.301688,1.266343,2.979631,-0.000000,0.000000
0.050000,0.372314,5.000000,0.372454,1.415325,2.979631,0.000000,0.000000
0.050000,0.450529,5.000000,0.450669,1.564306,2.979631,-0.000000,0.000000
0.050000,0.536194,5.000000,0.536334,1.713288,2.979631,-0.000000,0.000000
0.050000,0.629307,5.000000,0.629447,1.862269,2.979631,0.000000,0.000000
0.050000,0.729870,5.000000,0.730010,2.011251,2.979631,0.000000,0.000000
0.050000,0.837881,5.000000,0.838021,2.160233,2.979631,0.000000,0.000000
0.050000,0.953342,5.000000,0.953482,2.309214,2.979631,0.000000,0.000000
0.050000,1.076252,5.000000,1.076392,2.458196,2.979631,-0.000000,0.000000
0.050000,1.206611,5.000000,1.206751,2.607177,2.979631,-0.000000,0.000000
0.050000,1.344419,5.000000,1.344559,2.756159,2.979631,0.000000,0.000000
0.050000,1.489676,5.000000,1.489816,2.905140,2.979631,-0.000000,0.000000
0.050000,1.642382,5.000000,1.642522,3.054122,2.979631,0.000000,0.000000
0.050000,1.802537,5.000000,1.802677,3.203104,2.979631,-0.000000,0.000000
0.050000,1.970141,5.000000,1.970281,3.352085,2.979631,-0.000000,0.000000
0.050000,2.145194,5.000000,2.145334,3.501067,2.979631,0.000000,0.000000
0.050000,2.327697,5.000000,2.327837,3.650048,2.979631,-0.000000,0.000000
0.050000,2.517648,5.000000,2.517788,3.799030,2.979631,0.000000,0.000000
0.050000,2.715049,5.000000,2.715189,3.948011,2.979631,-0.000000,0.000000
0.050000,2.919899,5.000000,2.920039,4.096993,2.979631,0.000000,0.000000
0.050000,3.132197,5.000000,3.132337,4.245974,2.979631,0.000000,0.000000
0.050000,3.351945,5.000000,3.352085,4.394956,2.979631,-0.000000,0.000000
0.050000,3.579142,5.000000,3.579282,4.543938,2.979631,0.000000,0.000000
0.050000,3.813788,5.000000,3.813928,4.692919,2.979631,-0.000000,0.000000
0.050000,4.055883,5.000000,4.056023,4.841901,2.979631,0.000000,0.000000
0.050000,4.305427,5.000000,4.305567,4.990882,2.979631,-0.000000,0.000000
0.050000,4.562420,5.000000,4.562560,5.139864,2.979631,0.000000,0.000000
0.050000,4.826863,5.000000,4.827003,5.288845,2.979631,-0.000000,0.000000
0.050000,5.098754,5.000000,5.098894,5.437827,2.979631,0.000000,0.000000
0.050000,5.378094,5.000000,5.378234,5.586808,2.979631,-0.000000,0.000000
0.050000,5.664884,5.000000,5.665024,5.735790,2.979631,0.000000,0.000000
0.050000,5.959122,5.000000,5.959262,5.884772,2.979631,-0.000000,0.000000
0.050000,6.260810,5.000000,6.260950,6.033753,2.979631,0.000000,0.000000
0.050000,6.569947,5.000000,6.570087,6.182735,2.979631,-0.000000,0.000000
0.050000,6.886533,5.000000,6.886673,6.331716,2.979631,0.000000,0.000000
0.050000,7.205756,5.000000,7.205896,6.384459,1.054860,-38.495432,0.000000
0.050000,7.520167,5.000000,7.520307,6.288221,-1.924772,-59.592624,0.000000
0.050000,7.827129,5.000000,7.827269,6.139239,-2.979631,-21.097192,0.000000
0.050000,8.126641,5.000000,8.126781,5.990258,-2.979631,0.000000,0.000000
0.050000,8.418705,5.000000,8.418845,5.841276,-2.979631,-0.000000,0.000000
0.050000,8.703320,5.000000,8.703460,5.692294,-2.979631,0.000000,0.000000
0.050000,8.980486,5.000000,8.980626,5.543313,-2.979631,0.000000,0.000000
0.050000,9.250202,5.000000,9.250342,5.394331,-2.979631,-0.000000,0.000000
0.050000,9.512470,5.000000,9.512610,5.245350,-2.979631,-0.000000,0.000000
0.050000,9.767288,5.000000,9.767428,5.096368,-2.979631,0.000000,0.000000
0.050000,10.014657,5.000000,10.014797,4.947387,-2.979631,0.000000,0.000000
0.050000,10.254578,5.000000,10.254718,4.798405,-2.979631,-0.000000,0.000000
0.050000,10.487049,5.000000,10.487189,4.649424,-2.979631,0.000000,0.000000
0.050000,10.712071,5.000000,10.712211,4.500442,-2.979631,-0.000000,0.000000
0.050000,10.929644,5.000000,10.929784,4.351460,-2.979631,0.000000,0.000000
0.050000,11.139768,5.000000,11.139908,4.202479,-2.979631,-0.000000,0.000000
0.050000,11.342443,5.000000,11.342583,4.053497,-2.979631,0.000000,0.000000
0.050000,11.537669,5.000000,11.537809,3.904516,-2.979631,0.000000,0.000000
0.050000,11.725445,5.000000,11.725585,3.755534,-2.979631,-0.000000,0.000000
0.050000,11.905773,5.000000,11.905913,3.606553,-2.979631,0.000000,0.000000
0.050000,12.078651,5.000000,12.078791,3.457571,-2.979631,0.000000,0.000000
0.050000,12.244081,5.000000,12.244221,3.308589,-2.979631,-0.000000,0.000000
0.050000,12.402061,5.000000,12.402201,3.159608,-2.979631,0.000000,0.000000
0.050000,12.552593,5.000000,12.552733,3.010626,-2.979631,-0.000000,0.000000
0.050000,12.695675,5.000000,12.695815,2.861645,-2.979631,0.000000,0.000000
0.050000,12.831308,5.000000,12.831448,2.712663,-2.979631,0.000000,0.000000
0.050000,12.959492,5.000000,12.959632,2.563682,-2.979631,-0.000000,0.000000
0.050000,13.080227,5.000000,13.080367,2.414700,-2.979631,0.000000,0.000000
0.050000,13.193513,5.000000,13.193653,2.265719,-2.979631,0.000000,0.000000
0.050000,13.299350,5.000000,13.299490,2.116737,-2.979631,-0.000000,0.000000
0.050000,13.397738,5.000000,13.397878,1.967755,-2.979631,0.000000,0.000000
0.050000,13.488676,5.000000,13.488816,1.818774,-2.979631,-0.000000,0.000000
0.050000,13.572166,5.000000,13.572306,1.669792,-2.979631,0.000000,0.000000
0.050000,13.648207,5.000000,13.648347,1.520811,-2.979631,-0.000000,0.000000
0.050000,13.716798,5.000000,13.716938,1.371829,-2.979631,0.000000,0.000000
0.050000,13.777940,5.000000,13.778080,1.222848,-2.979631,0.000000,0.000000
0.050000,13.831634,5.000000,13.831774,1.073866,-2.979631,0.000000,0.000000
0.050000,13.877878,5.000000,13.878018,0.924885,-2.979631,-0.000000,0.000000
0.050000,13.916673,5.000000,13.916813,0.775903,-2.979631,-0.000000,0.000000
0.050000,13.948019,5.000000,13.948159,0.626921,-2.979631,0.000000,0.000000
0.050000,13.971916,5.000000,13.972056,0.477940,-2.979631,-0.000000,0.000000
0.050000,13.988364,5.000000,13.988504,0.328958,-2.979631,0.000000,0.000000
0.050000,13.997363,5.000000,13.997503,0.179977,-2.979631,0.000000,0.000000
0.050000,14.000000,5.000000,14.000140,0.052743,-2.544675,8.699120,0.000000
0.050000,14.000000,5.000000,14.000140,0.000000,-1.054860,29.796312,0.000000
