dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,14.007619,2.937505,0.006219,0.248772,4.975433,99.508669,0.001390
0.050000,14.030760,2.937586,0.029361,0.462832,4.281203,-13.884607,0.005610
0.050000,14.069319,2.937938,0.067921,0.771206,6.167475,37.725437,0.012635
0.050000,14.123273,2.938885,0.121883,1.079244,6.160773,-0.134033,0.022449
0.050000,14.192579,2.940877,0.191218,1.386686,6.148840,-0.238673,0.035024
0.050000,14.277159,2.944489,0.275875,1.693144,6.129148,-0.393841,0.050314
0.050000,14.376887,2.950409,0.375778,1.998070,6.098527,-0.612416,0.068247
0.050000,14.491569,2.959430,0.490815,2.300734,6.053291,-0.904713,0.088717
0.050000,14.620928,2.972432,0.620825,2.600208,5.989464,-1.276540,0.111574
0.050000,14.764582,2.990356,0.765594,2.895364,5.903122,-1.726834,0.136614
0.050000,14.922036,3.014177,0.924839,3.184907,5.790856,-2.245323,0.163574
0.050000,15.092670,3.044861,1.098210,3.467422,5.650310,-2.810925,0.192123
0.050000,15.275746,3.083326,1.285283,3.741458,5.480717,-3.391855,0.221862
0.050000,15.470418,3.130392,1.485564,4.005623,5.283303,-3.948276,0.252326
0.050000,15.675762,3.186740,1.698499,4.258694,5.061412,-4.437833,0.282993
0.050000,15.890809,3.252868,1.923484,4.499706,4.820240,-4.823430,0.313295
0.050000,16.114593,3.329066,2.159885,4.728014,4.566163,-5.081556,0.342634
0.050000,16.346194,3.415389,2.407050,4.943300,4.305719,-5.208880,0.370397
0.050000,16.584784,3.511646,2.664326,5.145523,4.044466,-5.225047,0.395968
0.050000,16.829664,3.617403,2.931067,5.334819,3.785923,-5.170863,0.418739
0.050000,17.080286,3.731974,3.206635,5.511359,3.530795,-5.102563,0.438110
0.050000,17.336265,3.854426,3.490394,5.675189,3.276594,-5.084010,0.453481
0.050000,17.597379,3.983565,3.781698,5.826072,3.017656,-5.178768,0.464246
0.050000,17.863555,4.117931,4.079865,5.963347,2.745505,-5.443021,0.469762
0.050000,18.128716,4.252654,4.377289,5.948472,-0.297498,-60.860061,0.469415
0.050000,18.382596,4.380604,4.661588,5.685984,-5.249751,-99.045055,0.463259
0.050000,18.621502,4.498394,4.927954,5.327321,-7.173260,-38.470182,0.451933
0.050000,18.846409,4.605500,5.177062,4.982152,-6.903381,5.397581,0.436072
0.050000,19.058067,4.701699,5.409556,4.649881,-6.645435,5.158920,0.416282
0.050000,19.257058,4.787033,5.626072,4.330316,-6.391292,5.082866,0.393162
0.050000,19.443838,4.861766,5.827248,4.023532,-6.135680,5.112233,0.367313
0.050000,19.618782,4.926352,6.013733,3.729706,-5.876523,5.183141,0.339344
0.050000,19.782208,4.981400,6.186181,3.448960,-5.614910,5.232252,0.309870
0.050000,19.934401,5.027637,6.345243,3.181227,-5.354670,5.204802,0.279504
0.050000,20.075624,5.065871,6.491550,2.926149,-5.101555,5.062298,0.248841
0.050000,20.206126,5.096953,6.625702,2.683041,-4.862161,4.787888,0.218444
0.050000,20.326135,5.121753,6.748247,2.450902,-4.642779,4.387631,0.188829
0.050000,20.435862,5.141126,6.859671,2.228481,-4.448421,3.887163,0.160453
0.050000,20.535492,5.155894,6.960390,2.014372,-4.282183,3.324758,0.133708
0.050000,20.625184,5.166834,7.050746,1.807120,-4.145037,2.742933,0.108916
0.050000,20.705067,5.174661,7.131012,1.605320,-4.035994,2.180853,0.086334
0.050000,20.775247,5.180024,7.201397,1.407693,-3.952537,1.669138,0.066158
0.050000,20.835804,5.183502,7.262053,1.213135,-3.891160,1.227546,0.048533
0.050000,20.886798,5.185596,7.313090,1.020740,-3.847903,0.865128,0.033561
0.050000,20.928273,5.186735,7.354580,0.829800,-3.818805,0.581973,0.021310
0.050000,20.960258,5.187265,7.386570,0.639789,-3.800225,0.371592,0.011824
0.050000,20.982774,5.187456,7.409087,0.450336,-3.789063,0.223255,0.005130
0.050000,20.995833,5.187497,7.422146,0.261192,-3.782870,0.123853,0.001241
0.050000,21.000000,5.187500,7.426313,0.083337,-3.557102,4.515363,6.283185
0.050000,21.000000,5.187500,7.426313,0.000000,-1.666740,37.807237,6.283185
