dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.006015,5.062500,0.006165,0.246618,4.932364,98.647284,0.000000
0.050000,0.024512,5.062500,0.024662,0.369927,2.466182,-49.323642,0.000000
0.050000,0.055339,5.062500,0.055489,0.616546,4.932364,49.323642,0.000000
0.050000,0.098497,5.062500,0.098647,0.863164,4.932364,0.000000,0.000000
0.050000,0.153986,5.062500,0.154136,1.109782,4.932364,-0.000000,0.000000
0.050000,0.221806,5.062500,0.221956,1.356400,4.932364,-0.000000,0.000000
0.050000,0.301957,5.062500,0.302107,1.603018,4.932364,-0.000000,0.000000
0.050000,0.394439,5.062500,0.394589,1.849637,4.932364,0.000000,0.000000
0.050000,0.499252,5.062500,0.499402,2.096255,4.932364,-0.000000,0.000000
0.050000,0.616396,5.062500,0.616546,2.342873,4.932364,-0.000000,0.000000
0.050000,0.745870,5.062500,0.746020,2.589491,4.932364,0.000000,0.000000
0.050000,0.887676,5.062500,0.887826,2.836109,4.932364,-0.000000,0.000000
0.050000,1.041812,5.062500,1.041962,3.082728,4.932364,0.000000,0.000000
0.050000,1.208279,5.062500,1.208429,3.329346,4.932364,-0.000000,0.000000
0.050000,1.387077,5.062500,1.387227,3.575964,4.932364,-0.000000,0.000000
0.050000,1.578207,5.062500,1.578357,3.822582,4.932364,0.000000,0.000000
0.050000,1.781667,5.062500,1.781817,4.069200,4.932364,0.000000,0.000000
0.050000,1.997457,5.062500,1.997607,4.315819,4.932364,-0.000000,0.000000
0.050000,2.225579,5.062500,2.225729,4.562437,4.932364,0.000000,0.000000
0.050000,2.466032,5.062500,2.466182,4.809055,4.932364,0.000000,0.000000
0.050000,2.718816,5.062500,2.718966,5.055673,4.932364,0.000000,0.000000
0.050000,2.983930,5.062500,2.984080,5.302292,4.932364,-0.000000,0.000000
0.050000,3.261376,5.062500,3.261526,5.548910,4.932364,0.000000,0.000000
0.050000,3.551152,5.062500,3.551302,5.795528,4.932364,-0.000000,0.000000
0.050000,3.853260,5.062500,3.853410,6.042146,4.932364,0.000000,0.000000
0.050000,4.167698,5.062500,4.167848,6.288764,4.932364,0.000000,0.000000
0.050000,4.494467,5.062500,4.494617,6.535383,4.932364,-0.000000,0.000000
0.050000,4.833567,5.062500,4.833717,6.782001,4.932364,-0.000000,0.000000
0.050000,5.184998,5.062500,5.185148,7.028619,4.932364,0.000000,0.000000
0.050000,5.548760,5.062500,5.548910,7.275237,4.932364,0.000000,0.000000
0.050000,5.924852,5.062500,5.925002,7.521855,4.932364,-0.000000,0.000000
0.050000,6.313276,5.062500,6.313426,7.768474,4.932364,-0.000000,0.000000
0.050000,6.714031,5.062500,6.714181,8.015092,4.932364,0.000000,0.000000
0.050000,7.127116,5.062500,7.127266,8.261710,4.932364,-0.000000,0.000000
0.050000,7.552533,5.062500,7.552683,8.508328,4.932364,0.000000,0.000000
0.050000,7.990280,5.062500,7.990430,8.754946,4.932364,0.000000,0.000000
0.050000,8.440358,5.062500,8.440508,9.001565,4.932364,-0.000000,0.000000
0.050000,8.902767,5.062500,8.902917,9.248183,4.932364,-0.000000,0.000000
0.050000,9.377507,5.062500,9.377657,9.494801,4.932364,0.000000,0.000000
0.050000,9.864578,5.062500,9.864728,9.741419,4.932364,0.000000,0.000000
0.050000,10.363980,5.062500,10.364130,9.988037,4.932364,-0.000000,0.000000
0.050000,10.866128,5.062500,10.866278,10.042958,1.098404,-76.679205,0.000000
0.050000,11.358691,5.062500,11.358841,9.851260,-3.833960,-98.647284,0.000000
0.050000,11.838923,5.062500,11.839073,9.604641,-4.932364,-21.968079,0.000000
0.050000,12.306824,5.062500,12.306974,9.358023,-4.932364,-0.000000,0.000000
0.050000,12.762395,5.062500,12.762545,9.111405,-4.932364,-0.000000,0.000000
0.050000,13.205634,5.062500,13.205784,8.864787,-4.932364,0.000000,0.000000
0.050000,13.636542,5.062500,13.636692,8.618169,-4.932364,-0.000000,0.000000
0.050000,14.055120,5.062500,14.055270,8.371550,-4.932364,0.000000,0.000000
0.050000,14.461367,5.062500,14.461517,8.124932,-4.932364,-0.000000,0.000000
0.050000,14.855282,5.062500,14.855432,7.878314,-4.932364,0.000000,0.000000
0.050000,15.231191,5.063056,15.231341,7.518177,-7.202742,-45.407549,0.005284
0.050000,15.585625,5.067179,15.585799,7.089166,-8.580218,-27.549530,0.019207
0.050000,15.920768,5.076823,15.921081,6.705631,-7.670695,18.190457,0.039570
0.050000,16.236690,5.093333,16.237434,6.327068,-7.571266,1.988588,0.066139
0.050000,16.533326,5.117642,16.535065,5.952608,-7.489194,1.641437,0.098720
0.050000,16.810545,5.150289,16.814199,5.582690,-7.398368,1.816524,0.137100
0.050000,17.068235,5.191438,17.075154,5.219105,-7.271707,2.533218,0.180980
0.050000,17.306402,5.240898,17.318403,4.864962,-7.082851,3.777128,0.229918
0.050000,17.525256,5.298166,17.544625,4.524458,-6.810085,5.455319,0.283271
0.050000,17.725287,5.362487,17.754743,4.202352,-6.442120,7.359301,0.340175
0.050000,17.907284,5.432940,17.949901,3.903153,-5.983969,9.163009,0.399553
0.050000,18.072309,5.508515,18.131409,3.630156,-5.459945,10.480491,0.460174
0.050000,18.221613,5.588185,18.300639,3.384609,-4.910948,10.979922,0.520745
0.050000,18.356521,5.670938,18.458905,3.165328,-4.385611,10.506742,0.580033
0.050000,18.478327,5.755788,18.607351,2.968913,-3.928308,9.146070,0.636962
0.050000,18.588220,5.841755,18.746874,2.790458,-3.569087,7.184418,0.690685
0.050000,18.687244,5.927860,18.878098,2.624491,-3.319342,4.994893,0.740617
0.050000,18.776300,6.013121,19.001389,2.465807,-3.173681,2.913221,0.786413
0.050000,18.856164,6.096561,19.116890,2.310027,-3.115597,1.161675,0.827936
0.050000,18.927506,6.177233,19.224582,2.153836,-3.123828,-0.164608,0.865206
0.050000,18.990915,6.254233,19.324331,1.994972,-3.177283,-1.069094,0.898348
0.050000,19.046916,6.326726,19.415934,1.832078,-3.257877,-1.611896,0.927552
0.050000,19.095976,6.393953,19.499159,1.664499,-3.351575,-1.873951,0.953036
0.050000,19.138512,6.455243,19.573764,1.492085,-3.448285,-1.934200,0.975030
0.050000,19.174894,6.510012,19.639515,1.315024,-3.541219,-1.858690,0.993751
0.050000,19.205444,6.557761,19.696201,1.133719,-3.626098,-1.697569,1.009398
