dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.006015,2.937500,0.006165,0.246618,4.932364,98.647284,0.000000
0.050000,0.024512,2.937500,0.024662,0.369927,2.466182,-49.323642,0.000000
0.050000,0.055339,2.937500,0.055489,0.616546,4.932364,49.323642,0.000000
0.050000,0.098497,2.937500,0.098647,0.863164,4.932364,0.000000,0.000000
0.050000,0.153986,2.937500,0.154136,1.109782,4.932364,-0.000000,0.000000
0.050000,0.221806,2.937500,0.221956,1.356400,4.932364,-0.000000,0.000000
0.050000,0.301957,2.937500,0.302107,1.603018,4.932364,-0.000000,0.000000
0.050000,0.394439,2.937500,0.394589,1.849637,4.932364,0.000000,0.000000
0.050000,0.499252,2.937500,0.499402,2.096255,4.932364,-0.000000,0.000000
0.050000,0.616396,2.937500,0.616546,2.342873,4.932364,-0.000000,0.000000
0.050000,0.745870,2.937500,0.746020,2.589491,4.932364,0.000000,0.000000
0.050000,0.887676,2.937500,0.887826,2.836109,4.932364,-0.000000,0.000000
0.050000,1.041812,2.937500,1.041962,3.082728,4.932364,0.000000,0.000000
0.050000,1.208279,2.937500,1.208429,3.329346,4.932364,-0.000000,0.000000
0.050000,1.387077,2.937500,1.387227,3.575964,4.932364,-0.000000,0.000000
0.050000,1.578207,2.937500,1.578357,3.822582,4.932364,0.000000,0.000000
0.050000,1.781667,2.937500,1.781817,4.069200,4.932364,0.000000,0.000000
0.050000,1.997457,2.937500,1.997607,4.315819,4.932364,-0.000000,0.000000
0.050000,2.225579,2.937500,2.225729,4.562437,4.932364,0.000000,0.000000
0.050000,2.466032,2.937500,2.466182,4.809055,4.932364,0.000000,0.000000
0.050000,2.718816,2.937500,2.718966,5.055673,4.932364,0.000000,0.000000
0.050000,2.983930,2.937500,2.984080,5.302292,4.932364,-0.000000,0.000000
0.050000,3.261376,2.937500,3.261526,5.548910,4.932364,0.000000,0.000000
0.050000,3.551152,2.937500,3.551302,5.795528,4.932364,-0.000000,0.000000
0.050000,3.853260,2.937500,3.853410,6.042146,4.932364,0.000000,0.000000
0.050000,4.167698,2.937500,4.167848,6.288764,4.932364,0.000000,0.000000
0.050000,4.494467,2.937500,4.494617,6.535383,4.932364,-0.000000,0.000000
0.050000,4.833567,2.937500,4.833717,6.782001,4.932364,-0.000000,0.000000
0.050000,5.184998,2.937500,5.185148,7.028619,4.932364,0.000000,0.000000
0.050000,5.548760,2.937500,5.548910,7.275237,4.932364,0.000000,0.000000
0.050000,5.924852,2.937500,5.925002,7.521855,4.932364,-0.000000,0.000000
0.050000,6.313276,2.937500,6.313426,7.768474,4.932364,-0.000000,0.000000
0.050000,6.714031,2.937500,6.714181,8.015092,4.932364,0.000000,0.000000
0.050000,7.127116,2.937500,7.127266,8.261710,4.932364,-0.000000,0.000000
0.050000,7.552533,2.937500,7.552683,8.508328,4.932364,0.000000,0.000000
0.050000,7.990280,2.937500,7.990430,8.754946,4.932364,0.000000,0.000000
0.050000,8.440358,2.937500,8.440508,9.001565,4.932364,-0.000000,0.000000
0.050000,8.902767,2.937500,8.902917,9.248183,4.932364,-0.000000,0.000000
0.050000,9.377507,2.937500,9.377657,9.494801,4.932364,0.000000,0.000000
0.050000,9.864578,2.937500,9.864728,9.741419,4.932364,0.000000,0.000000
0.050000,10.363980,2.937500,10.364130,9.988037,4.932364,-0.000000,0.000000
0.050000,10.866128,2.937500,10.866278,10.042958,1.098404,-76.679205,0.000000
0.050000,11.358691,2.937500,11.358841,9.851260,-3.833960,-98.647284,0.000000
0.050000,11.838923,2.937500,11.839073,9.604641,-4.932364,-21.968079,0.000000
0.050000,12.306824,2.937500,12.306974,9.358023,-4.932364,-0.000000,0.000000
0.050000,12.762395,2.937500,12.762545,9.111405,-4.932364,-0.000000,0.000000
0.050000,13.205634,2.937500,13.205784,8.864787,-4.932364,0.000000,0.000000
0.050000,13.636542,2.937500,13.636692,8.618169,-4.932364,-0.000000,0.000000
0.050000,14.055120,2.937500,14.055270,8.371550,-4.932364,0.000000,0.000000
0.050000,14.461367,2.937500,14.461517,8.124932,-4.932364,-0.000000,0.000000
0.050000,14.855282,2.937500,14.855432,7.878314,-4.932364,0.000000,0.000000
0.050000,15.242420,2.938085,15.242570,7.742758,-2.711128,44.424721,0.005284
0.050000,15.626437,2.942571,15.626614,7.680869,-1.237763,29.467310,0.019207
0.050000,16.004832,2.953486,16.005166,7.571041,-2.196578,-19.176309,0.039570
0.050000,16.377132,2.972979,16.377976,7.456209,-2.296635,-2.001145,0.066139
0.050000,16.742765,3.002988,16.744839,7.337250,-2.379181,-1.650920,0.098720
0.050000,17.100970,3.045229,17.105525,7.213734,-2.470311,-1.822603,0.137100
0.050000,17.450723,3.101144,17.459719,7.083881,-2.597056,-2.534885,0.180980
0.050000,17.790684,3.171817,17.806949,6.944596,-2.785707,-3.773033,0.229918
0.050000,18.119189,3.257855,18.146534,6.791700,-3.057922,-5.444290,0.283271
