dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,15.062500,4.003627,0.003657,0.146298,2.925952,58.519047,1.570796
0.050000,15.062500,4.014600,0.014630,0.219446,1.462976,-29.259523,1.570796
0.050000,15.062500,4.032887,0.032917,0.365744,2.925952,29.259523,1.570796
0.050000,15.062500,4.058489,0.058519,0.512042,2.925952,-0.000000,1.570796
0.050000,15.062500,4.091406,0.091436,0.658339,2.925952,0.000000,1.570796
0.050000,15.062500,4.131638,0.131668,0.804637,2.925952,-0.000000,1.570796
0.050000,15.062500,4.179185,0.179215,0.950935,2.925952,0.000000,1.570796
0.050000,15.062500,4.234046,0.234076,1.097232,2.925952,0.000000,1.570796
0.050000,15.062500,4.296223,0.296253,1.243530,2.925952,-0.000000,1.570796
0.050000,15.062500,4.365714,0.365744,1.389827,2.925952,-0.000000,1.570796
0.050000,15.062500,4.442520,0.442550,1.536125,2.925952,-0.000000,1.570796
0.050000,15.062500,4.526641,0.526671,1.682423,2.925952,0.000000,1.570796
0.050000,15.062500,4.618077,0.618107,1.828720,2.925952,0.000000,1.570796
0.050000,15.062500,4.716828,0.716858,1.975018,2.925952,0.000000,1.570796
0.050000,15.062500,4.822894,0.822924,2.121315,2.925952,-0.000000,1.570796
0.050000,15.062500,4.936275,0.936305,2.267613,2.925952,0.000000,1.570796
0.050000,15.062500,5.056970,1.057000,2.413911,2.925952,0.000000,1.570796
0.050000,15.062500,5.184981,1.185011,2.560208,2.925952,0.000000,1.570796
0.050000,15.062500,5.320306,1.320336,2.706506,2.925952,0.000000,1.570796
0.050000,15.062500,5.462946,1.462976,2.852804,2.925952,0.000000,1.570796
0.050000,15.062500,5.607438,1.607468,2.889842,0.740777,-43.703517,1.570796
0.050000,15.062500,5.746467,1.746497,2.780584,-2.185176,-58.519047,1.570796
0.050000,15.062500,5.878182,1.878212,2.634286,-2.925952,-14.815530,1.570796
0.050000,15.062500,6.002581,2.002611,2.487988,-2.925952,0.000000,1.570796
0.050000,15.062500,6.119666,2.119696,2.341691,-2.925952,0.000000,1.570796
0.050000,15.062500,6.229435,2.229465,2.195393,-2.925952,-0.000000,1.570796
0.050000,15.062500,6.331890,2.331920,2.049095,-2.925952,0.000000,1.570796
0.050000,15.062500,6.427030,2.427060,1.902798,-2.925952,-0.000000,1.570796
0.050000,15.062500,6.514855,2.514885,1.756500,-2.925952,-0.000000,1.570796
0.050000,15.062500,6.595365,2.595395,1.610203,-2.925952,0.000000,1.570796
0.050000,15.062500,6.668560,2.668590,1.463905,-2.925952,-0.000000,1.570796
0.050000,15.062500,6.734441,2.734471,1.317607,-2.925952,0.000000,1.570796
0.050000,15.062500,6.793006,2.793036,1.171310,-2.925952,-0.000000,1.570796
0.050000,15.062500,6.844257,2.844287,1.025012,-2.925952,-0.000000,1.570796
0.050000,15.062500,6.888193,2.888223,0.878715,-2.925952,0.000000,1.570796
0.050000,15.062500,6.924813,2.924843,0.732417,-2.925952,-0.000000,1.570796
0.050000,15.062500,6.954119,2.954149,0.586119,-2.925952,0.000000,1.570796
0.050000,15.062500,6.976111,2.976141,0.439822,-2.925952,-0.000000,1.570796
0.050000,15.062500,6.990787,2.990817,0.293524,-2.925952,-0.000000,1.570796
0.050000,15.062500,6.998148,2.998178,0.147226,-2.925952,0.000000,1.570796
0.050000,15.062500,7.000000,3.000030,0.037039,-2.203753,14.443993,1.570796
0.050000,15.062500,7.000000,3.000030,0.000000,-0.740777,29.259523,1.570796
